temperature,humidity,wind_speed,precipitation,solar_output
24.55,65.75,3.31,16.14,9.55
29.92,17.22,1.27,17.57,17.97
27.45,88.63,3.69,12.13,5.83
41.14,58.85,9.32,5.0,21.37
28.26,11.61,0.66,10.21,24.06
12.07,75.62,7.65,12.24,1.83
44.93,46.39,9.42,16.44,20.47
24.95,67.1,2.05,0.94,16.57
17.32,79.21,1.13,18.19,2.22
36.92,85.4,4.89,18.7,9.72
28.34,53.31,7.28,4.36,19.29
35.34,83.71,0.75,16.11,9.74
23.59,69.67,3.0,2.01,14.36
13.31,20.35,9.87,11.33,15.88
28.96,17.24,4.94,6.28,25.84
23.85,85.31,3.6,11.27,6.0
43.0,50.02,7.86,16.63,19.55
27.54,38.31,6.97,2.27,20.88
33.38,55.44,6.21,3.53,21.06
36.38,60.4,6.28,7.42,17.41
39.94,14.83,1.74,15.69,25.65
36.11,58.08,3.26,14.61,16.4
12.95,57.05,8.61,12.73,5.25
14.53,29.74,3.99,9.26,14.03
30.2,21.31,3.12,12.94,22.14
20.31,39.93,4.92,19.92,9.72
29.04,64.25,4.3,11.57,11.97
43.69,20.67,7.22,19.2,23.18
17.6,30.62,8.13,14.95,14.62
31.14,47.12,1.04,6.5,19.23
27.24,53.23,4.69,0.15,19.93
25.58,39.08,1.76,8.67,16.37
34.56,56.2,1.21,1.09,20.14
34.38,70.22,3.04,13.13,11.92
28.96,84.4,2.86,14.47,6.29
33.63,31.69,1.28,0.58,27.17
17.85,33.54,2.14,0.55,19.0
31.07,48.71,7.84,16.55,14.73
33.76,89.38,4.83,10.31,11.06
25.15,45.84,9.04,9.35,16.45
10.36,45.21,8.07,9.78,9.08
11.26,12.72,8.51,11.86,14.0
28.61,79.48,8.17,10.73,9.08
41.1,49.06,9.34,8.21,20.75
32.28,41.13,8.06,12.88,15.65
28.74,27.55,8.13,13.45,16.91
37.72,14.86,6.55,2.49,31.19
34.13,63.74,7.75,19.17,10.48
18.78,76.51,0.7,4.54,8.25
22.36,13.57,7.59,9.67,22.22
22.77,40.47,8.74,9.11,15.22
31.4,87.48,1.53,18.11,6.28
12.83,40.66,2.05,15.37,10.38
38.52,11.35,1.45,13.8,27.93
29.96,53.32,1.95,12.5,14.36
33.5,54.36,8.01,15.15,13.81
21.79,13.16,4.29,12.25,18.33
16.24,23.96,7.95,7.9,17.58
10.17,65.38,9.92,16.33,2.84
32.45,39.93,7.72,0.33,23.04
39.19,60.02,4.89,7.9,18.11
38.86,23.75,4.34,18.1,21.35
24.69,67.89,6.23,0.24,16.92
23.96,47.4,2.75,4.87,18.42
26.98,54.45,6.81,0.02,19.65
18.5,33.08,8.96,19.54,11.38
24.79,30.17,1.4,8.5,21.22
28.35,43.96,1.07,17.55,13.82
14.28,39.15,6.86,11.4,12.77
36.2,62.01,4.94,18.07,14.46
18.18,89.55,4.47,1.12,8.14
34.94,71.57,9.0,7.85,16.53
32.16,23.11,3.79,1.03,26.93
41.75,55.14,6.86,17.95,15.51
23.34,19.76,3.61,19.56,13.86
24.95,35.15,8.88,7.38,17.46
34.45,16.66,8.0,14.35,22.65
37.74,66.32,9.32,2.4,19.99
12.85,51.1,1.04,6.22,11.34
28.62,26.16,3.19,13.45,18.01
25.35,75.35,2.3,7.17,12.62
27.64,28.34,1.34,12.01,19.25
39.67,86.33,9.93,14.16,11.32
25.04,42.17,8.85,1.22,21.21
43.44,65.55,3.42,16.19,15.42
12.19,59.87,3.99,0.42,11.34
36.58,60.21,7.19,6.58,18.25
37.58,16.51,4.9,17.74,23.1
12.73,45.81,2.77,18.02,5.09
17.23,86.99,2.58,3.96,7.75
11.19,84.55,8.44,3.05,5.02
16.41,73.31,9.5,16.08,3.85
15.97,61.6,6.1,13.26,6.04
18.4,49.34,6.93,0.14,16.62
40.48,45.27,9.1,11.92,21.39
25.08,18.65,6.89,3.63,23.77
39.68,41.52,1.37,5.08,26.2
11.42,34.44,6.98,5.2,15.74
17.91,44.34,1.1,17.16,9.49
10.46,46.3,8.29,18.19,6.49
26.72,89.52,6.72,6.24,10.56
17.71,51.03,1.74,5.19,15.64
35.93,46.08,3.89,18.9,14.22
36.21,18.63,2.99,17.92,21.74
13.33,15.53,1.46,2.36,21.09
14.78,82.33,1.55,8.06,4.07
10.26,43.41,1.19,8.54,10.94
10.27,21.12,4.38,6.29,17.56
37.58,49.55,7.75,5.63,21.44
33.06,41.18,8.68,7.23,21.04
30.72,27.94,1.18,14.95,19.03
35.79,63.31,8.27,5.2,18.73
24.83,85.36,4.83,16.36,5.41
16.73,14.14,1.15,19.18,15.5
37.11,21.12,1.36,3.53,30.54
44.92,33.15,7.32,4.75,28.74
44.93,20.28,2.26,18.64,24.2
22.74,16.86,9.83,10.25,18.46
16.47,43.66,7.13,19.01,5.98
26.56,30.14,9.03,2.81,23.36
20.84,74.76,0.51,17.2,5.62
35.35,55.85,9.32,13.76,14.26
37.65,75.91,0.93,2.13,17.51
25.94,39.45,2.25,12.14,15.06
10.48,66.25,1.32,8.19,5.85
17.44,24.64,3.53,14.03,16.57
28.03,37.61,6.76,14.49,17.7
28.39,16.04,4.07,0.07,27.48
37.95,68.53,4.84,5.16,19.38
44.64,73.03,3.82,15.02,14.3
37.16,54.32,2.16,0.99,22.81
22.43,73.93,4.25,10.58,9.67
30.2,37.22,2.81,1.76,24.78
40.26,56.16,9.27,6.01,19.73
18.23,34.63,3.92,9.98,16.6
19.75,37.84,5.02,3.03,17.16
29.72,71.2,7.49,2.88,17.46
27.8,22.88,8.86,0.59,25.95
44.51,78.69,3.15,9.87,16.88
16.24,62.05,2.4,15.42,6.03
14.48,57.29,1.34,16.77,6.12
43.2,51.58,9.39,7.9,22.35
18.05,51.28,7.13,19.61,5.46
20.43,88.02,2.83,6.33,6.13
29.15,19.21,2.89,16.24,19.87
30.67,48.25,3.41,0.84,20.94
24.25,84.47,6.94,5.09,9.3
22.11,81.62,0.98,14.71,3.35
14.79,75.49,4.24,5.15,8.7
16.15,72.7,8.32,17.65,1.41
12.7,32.09,9.69,3.94,13.75
34.88,27.95,8.65,6.07,25.39
18.49,84.35,4.32,8.62,5.24
30.23,70.02,5.74,3.65,17.3
29.4,35.66,9.0,18.03,12.72
13.88,18.92,5.84,4.56,18.75
28.43,40.32,7.05,12.57,16.05
18.98,43.81,3.71,4.37,16.46
33.36,11.41,5.73,14.17,22.95
36.3,10.55,7.27,19.05,21.82
21.95,72.57,4.78,16.14,5.35
36.56,11.57,5.76,18.75,21.89
11.9,58.53,9.63,9.63,8.98
35.65,36.55,7.25,8.89,23.75
42.56,60.49,9.18,19.54,12.57
15.31,20.51,3.92,10.66,15.58
34.54,35.77,6.66,17.06,18.29
42.23,10.34,9.17,8.89,29.8
39.31,84.74,5.46,18.4,7.27
21.76,74.57,0.57,16.66,6.37
22.26,13.52,1.2,5.87,21.46
31.55,67.96,7.66,2.02,17.28
16.19,38.32,3.24,0.84,17.62
19.53,40.65,5.53,10.61,14.9
20.43,42.27,5.14,12.43,11.46
38.45,68.33,2.8,13.44,13.24
34.4,79.23,6.36,19.86,7.99
18.59,12.54,7.0,1.44,23.39
22.59,34.24,9.35,0.24,22.56
32.17,44.53,7.21,10.36,17.12
33.52,37.64,3.34,4.58,22.08
44.0,23.28,4.3,8.41,27.02
21.7,62.31,0.55,15.25,10.47
22.44,38.2,2.98,11.22,14.37
26.85,36.22,5.2,16.45,15.59
30.47,53.77,6.86,3.96,19.11
10.56,45.97,6.38,3.17,14.75
39.16,55.7,9.45,12.4,16.25
22.91,50.7,0.9,16.17,10.73
22.55,67.78,0.85,10.58,10.88
33.81,60.35,6.44,13.86,11.99
12.28,35.73,4.45,3.01,16.23
24.77,26.67,3.31,16.12,17.42
12.53,16.32,2.09,13.72,15.71
17.62,54.99,2.94,2.13,16.4
19.73,74.41,8.37,6.59,7.23
40.6,10.53,6.41,12.57,28.59
16.72,45.94,5.94,12.5,10.92
43.14,44.29,5.99,7.24,23.87
23.76,67.74,5.16,11.28,11.25
13.3,70.79,6.99,8.87,7.38
38.33,62.75,2.77,14.21,13.58
43.43,63.94,3.88,14.8,14.82
34.93,28.92,7.22,2.36,28.24
35.41,18.17,9.46,19.69,18.85
28.27,51.63,6.93,5.95,16.83
23.62,17.87,9.9,17.08,15.84
30.36,55.19,8.19,19.92,10.02
15.76,52.09,2.76,19.44,7.81
31.44,13.85,7.05,11.42,22.7
31.28,80.84,8.87,16.57,8.65
18.5,89.66,7.03,19.53,0.07
14.67,20.0,4.99,1.61,18.67
24.42,60.26,4.58,4.48,13.69
23.12,39.66,6.79,14.24,13.49
30.26,66.5,9.26,1.25,18.06
33.79,41.06,6.37,3.69,24.0
39.08,64.29,6.75,8.38,16.2
32.41,78.42,9.45,0.75,16.28
19.2,11.49,4.32,17.63,14.76
29.06,82.02,5.63,4.04,10.73
40.91,85.69,0.62,0.32,17.78
34.55,46.0,6.52,9.43,20.28
16.62,69.3,4.52,13.88,3.61
34.52,16.58,0.83,0.11,31.46
41.45,54.64,3.29,16.55,18.02
43.6,73.73,2.42,10.5,18.07
18.03,64.64,9.99,4.02,10.92
27.39,18.2,9.65,18.35,18.4
39.17,13.52,2.56,8.64,26.62
20.32,40.21,4.97,15.89,11.76
19.26,40.09,5.46,10.55,12.53
12.82,36.13,3.38,4.78,15.45
10.2,71.28,5.55,5.48,5.66
11.96,81.99,8.07,19.73,0.0
20.26,11.84,6.32,5.83,23.01
40.87,86.32,2.34,10.81,12.64
22.2,67.08,3.64,15.12,8.39
33.07,37.38,1.94,3.62,24.97
21.54,12.03,7.97,19.08,16.26
43.31,70.64,9.52,16.58,15.09
12.92,28.78,0.84,12.3,13.06
30.38,19.24,5.48,2.26,25.07
26.7,38.92,8.69,14.19,16.21
14.71,36.03,8.99,10.24,11.93
41.85,47.2,7.7,1.93,26.46
42.1,87.22,4.75,15.3,10.7
22.64,19.66,8.66,18.88,15.22
20.81,19.49,6.41,9.63,19.3
44.21,43.2,3.11,7.35,26.36
28.67,86.19,3.02,17.13,3.49
12.14,25.72,6.28,1.84,18.41
21.96,22.44,6.56,0.99,21.87
38.1,55.76,4.41,8.42,21.08
19.06,39.18,4.32,10.71,15.31
34.5,51.36,9.69,10.27,18.14
44.29,20.15,4.47,17.94,25.63
13.7,81.02,3.87,7.7,3.85
10.25,47.14,0.7,14.95,5.61
38.3,55.69,1.35,13.43,18.22
28.62,71.83,2.84,4.0,12.84
19.36,23.22,1.6,13.25,15.12
14.03,79.71,8.4,15.46,2.26
24.45,38.67,3.38,19.76,10.06
35.92,42.6,2.21,12.35,17.84
25.46,43.61,0.59,9.77,17.79
38.49,84.7,7.64,0.84,15.49
43.35,81.15,6.54,10.5,17.13
26.03,86.91,4.46,18.55,2.32
23.73,43.13,9.96,5.06,15.72
19.71,30.73,9.27,4.59,18.79
40.84,31.71,9.12,9.83,24.51
30.34,69.44,4.43,12.38,11.33
11.71,64.0,8.55,4.76,6.84
10.5,57.27,5.8,14.72,5.5
42.94,49.11,5.12,7.13,24.02
18.35,16.14,5.34,5.26,20.57
44.16,56.71,8.64,11.98,18.31
24.02,71.62,0.87,13.01,7.93
16.13,39.03,1.44,10.42,11.88
15.28,75.59,2.29,9.59,4.96
24.18,68.73,0.53,11.03,9.07
44.33,33.75,9.75,1.13,30.54
42.1,83.61,5.72,1.24,19.21
10.64,32.27,8.97,16.49,9.37
27.98,65.53,0.66,13.94,10.38
12.99,31.5,2.68,11.68,13.24
33.13,71.91,9.23,6.9,14.56
15.46,53.41,9.08,3.35,14.16
16.67,27.92,2.5,10.28,14.92
32.5,84.91,6.61,0.67,14.16
34.82,24.99,9.2,7.72,22.67
24.78,79.89,7.42,13.2,6.51
13.21,33.25,9.1,17.36,8.09
32.93,81.52,1.16,5.92,12.01
17.67,56.05,6.07,5.72,10.96
36.62,63.31,5.12,13.27,16.1
26.72,48.38,4.77,10.66,15.93
43.96,59.39,5.24,0.69,23.07
30.17,75.74,0.76,3.65,13.31
35.97,63.33,2.36,9.18,16.98
32.44,68.12,8.35,3.12,15.15
12.41,73.71,5.46,8.87,6.24
32.35,33.93,4.88,9.51,20.89
13.02,57.36,4.01,0.34,12.04
22.14,24.3,0.61,11.14,16.61
43.73,45.76,7.42,0.74,27.11
30.55,52.83,2.8,17.36,10.97
10.42,49.85,1.14,9.77,8.02
17.19,83.17,6.42,7.34,6.48
13.78,29.94,7.56,12.99,10.64
32.09,32.6,2.18,8.47,22.65
17.8,80.33,3.51,7.28,6.34
24.61,81.47,9.91,12.34,7.87
22.48,18.95,1.06,14.35,18.57
16.31,66.22,5.45,16.94,4.55
37.18,79.84,3.04,17.9,8.45
35.18,31.09,4.06,18.95,19.43
25.66,62.54,3.19,17.55,10.09
29.81,68.04,5.86,16.21,8.36
38.47,88.73,1.41,9.69,11.3
42.41,39.01,0.69,17.34,19.71
41.58,48.21,3.03,10.96,22.24
25.66,31.82,4.13,16.7,14.82
35.73,56.24,5.9,18.07,12.61
33.84,43.29,4.64,2.03,23.57
43.47,41.03,3.02,0.13,30.03
10.98,24.24,7.76,15.47,10.36
19.46,63.43,2.0,4.3,11.76
40.0,49.51,5.77,4.56,22.25
25.17,71.81,3.43,6.78,10.03
13.31,37.74,8.72,18.59,6.57
27.12,12.25,9.0,14.55,21.68
26.51,51.1,8.61,15.85,10.85
16.55,82.64,4.74,15.6,0.71
14.16,69.73,0.71,7.58,8.69
35.79,84.2,4.01,11.65,12.69
12.88,25.59,9.39,19.88,7.51
36.0,71.05,5.41,4.34,18.28
31.01,56.09,4.68,0.84,20.56
41.59,44.05,4.72,5.77,24.01
34.54,73.98,6.45,4.08,16.94
35.86,55.43,8.58,8.62,19.78
25.94,12.1,1.25,8.61,25.34
30.64,63.64,5.29,4.05,15.17
32.81,39.83,6.89,15.91,15.8
41.57,27.69,7.57,3.64,26.76
23.46,27.39,8.57,15.42,14.17
23.7,80.19,4.61,16.08,4.1
14.34,54.8,4.4,3.94,13.32
20.74,88.05,7.54,19.58,0.87
11.13,60.99,4.67,14.69,2.86
10.59,14.76,5.17,19.99,9.92
29.64,32.93,1.5,15.88,18.84
39.87,49.34,8.53,18.36,17.61
22.53,76.37,4.88,15.72,3.75
21.09,48.71,6.7,2.27,16.72
40.49,16.36,2.93,18.52,25.29
27.83,77.3,9.04,14.2,6.77
24.48,82.58,8.79,12.58,4.29
12.8,46.53,5.09,14.73,7.03
23.73,59.37,3.59,1.27,18.2
23.76,60.12,2.94,7.0,15.44
30.61,33.64,9.88,18.84,16.25
10.94,29.17,7.52,6.53,16.07
33.01,37.63,8.27,3.87,24.82
12.0,86.29,2.32,3.63,4.72
37.98,35.22,8.99,5.83,22.9
34.87,66.65,5.18,1.81,18.0
44.31,85.53,0.74,17.32,11.94
30.79,60.95,0.74,10.43,13.54
12.59,61.43,8.53,17.89,3.73
25.08,66.98,5.42,15.12,8.55
36.01,12.68,7.46,19.77,22.07
24.14,68.37,4.2,5.31,13.26
40.29,70.66,3.8,6.39,18.63
28.55,46.3,8.14,18.07,11.92
11.87,42.01,9.5,9.05,12.17
43.42,34.79,6.4,15.5,22.16
39.97,27.79,7.19,8.06,26.92
44.43,28.98,5.41,9.92,28.41
18.4,56.07,6.24,14.71,9.2
31.8,86.41,9.87,18.14,4.91
41.65,72.23,7.55,10.52,14.25
41.49,70.55,8.84,7.04,18.87
22.05,59.08,1.57,10.85,11.94
22.61,78.11,7.77,19.37,3.23
20.49,59.05,6.69,17.9,7.17
27.4,70.26,1.97,6.09,12.6
37.13,23.18,2.03,12.28,25.62
16.29,26.26,9.75,2.59,19.32
11.24,12.69,8.56,8.08,15.3
29.78,76.56,3.73,17.68,7.24
35.03,67.26,8.1,8.52,14.49
17.91,80.86,6.36,19.81,1.01
13.6,16.56,5.89,11.78,16.28
29.47,36.32,5.43,13.45,18.73
16.9,86.09,9.41,9.6,3.93
29.72,53.74,0.61,5.06,19.75
21.54,24.24,8.31,3.75,22.82
36.65,82.96,6.21,9.71,11.33
27.7,80.28,5.01,13.04,9.2
20.2,53.96,2.86,4.81,14.62
13.27,79.75,8.81,16.6,0.0
36.19,62.17,9.43,16.94,10.87
18.56,66.16,1.35,13.83,8.07
20.65,40.63,8.5,8.77,16.9
11.65,57.94,2.94,2.52,9.89
21.45,42.68,5.37,17.35,9.81
16.23,10.29,0.75,3.22,24.33
25.48,67.31,5.47,7.62,11.38
29.22,89.38,6.42,10.73,7.68
11.15,56.81,7.03,8.3,10.12
21.92,61.33,6.62,6.88,13.88
21.84,23.8,6.29,9.22,18.14
40.94,62.27,5.44,1.24,23.95
11.46,34.9,9.29,10.02,12.22
23.65,58.28,5.11,17.98,6.73
11.97,62.23,5.89,6.07,10.69
14.4,72.08,7.69,4.35,6.52
20.66,72.29,5.53,11.71,7.79
37.46,51.78,2.7,17.91,16.29
18.59,76.95,8.46,16.38,1.1
26.35,22.05,8.89,1.21,26.44
20.83,46.96,7.7,13.01,10.39
16.25,68.53,7.81,4.53,10.79
26.81,71.04,8.12,14.43,10.04
14.82,34.41,4.76,16.49,11.81
37.31,50.98,8.11,5.78,22.99
41.04,89.79,3.46,8.94,13.71
15.04,77.92,8.51,5.35,6.23
18.86,85.59,1.15,19.0,2.71
22.82,60.84,9.01,6.2,11.43
18.68,29.63,7.4,14.23,14.37
21.14,80.48,3.71,10.65,8.48
40.58,75.65,9.57,2.28,18.37
40.98,57.23,1.85,11.01,18.42
22.19,50.06,0.63,12.93,14.04
32.41,64.89,3.46,13.69,14.42
42.47,32.9,2.12,2.3,29.98
16.27,48.72,7.81,4.89,13.86
29.73,25.27,6.02,1.26,25.22
39.17,75.99,4.56,7.67,17.12
18.77,32.11,9.03,2.74,20.16
22.48,54.42,1.16,11.68,12.84
40.72,47.3,7.32,7.97,23.24
29.12,67.91,2.44,8.69,12.94
33.03,77.46,0.96,11.54,11.22
35.93,46.8,1.17,10.28,19.08
36.18,23.73,6.86,19.46,19.69
20.84,31.22,2.33,18.0,11.21
12.32,17.95,6.41,8.53,17.2
22.39,74.53,3.35,11.24,8.24
21.89,26.02,2.55,5.53,21.41
14.47,54.74,2.82,19.16,5.62
44.21,82.41,9.82,18.53,12.95
28.5,16.8,1.77,8.8,25.31
30.58,86.32,4.02,0.22,15.21
44.71,85.02,7.08,12.26,15.43
15.11,87.01,1.0,7.96,5.83
11.66,65.88,4.85,12.72,5.52
19.22,61.45,5.2,5.61,12.33
24.62,57.76,5.6,1.83,14.93
10.15,51.3,6.04,11.16,9.57
26.1,84.07,1.34,0.29,13.13
28.75,73.85,7.53,13.63,8.06
14.52,50.85,9.81,19.02,6.65
23.96,32.49,9.94,4.91,18.15
11.91,78.86,2.21,0.6,9.94
33.29,16.29,5.98,17.0,19.3
17.68,60.27,1.7,1.02,12.91
26.25,72.14,3.13,14.92,8.93
27.82,31.33,9.84,12.15,18.11
38.31,51.54,2.0,3.61,23.1
35.4,72.14,9.95,17.53,10.51
41.01,37.36,4.59,8.13,23.85
37.65,25.82,7.86,5.43,26.59
36.71,72.79,5.75,2.17,17.36
34.92,24.49,1.62,17.91,18.75
31.88,18.58,0.87,9.08,24.2
23.69,49.67,7.43,4.88,16.04
13.76,40.5,9.78,10.44,12.33
20.22,34.53,1.12,8.95,15.34
22.51,43.62,2.6,8.43,16.56
36.12,68.54,2.68,10.36,15.72
14.25,15.02,3.27,0.77,23.95
25.53,57.05,8.77,0.05,17.81
36.59,21.94,1.55,16.24,20.63
19.02,43.88,3.8,17.01,11.6
30.78,76.85,3.6,10.22,13.42
29.03,89.16,8.23,4.28,9.13
16.56,55.87,5.62,19.1,4.2
36.42,58.14,4.46,8.82,16.25
15.8,34.21,5.7,8.37,13.3
11.07,26.96,6.28,11.77,11.49
42.96,72.71,4.44,18.79,14.04
24.95,51.99,4.15,7.12,16.01
33.37,60.28,6.58,0.75,20.57
29.4,59.99,7.43,12.98,12.2
42.36,21.92,4.97,13.14,25.1
22.84,31.75,6.13,4.3,19.86
35.48,78.89,3.38,16.55,11.08
24.48,27.05,7.07,7.77,17.88
26.39,69.11,7.2,18.65,7.11
34.03,44.24,8.88,3.33,22.64
39.98,67.39,7.16,7.7,17.74
44.63,25.65,2.51,16.39,24.15
23.11,35.33,4.29,1.55,20.39
32.25,43.7,3.07,16.09,14.57
16.31,79.48,5.79,14.52,1.08
19.34,28.3,3.83,19.95,11.76
10.65,24.05,4.33,15.44,12.27
19.74,21.99,7.24,14.17,14.64
34.13,51.29,5.89,1.68,21.61
13.1,16.29,7.84,5.39,16.96
43.79,60.08,8.13,2.76,21.6
23.26,33.48,4.49,9.72,18.24
31.53,71.35,0.63,4.23,17.07
21.75,53.75,8.63,8.84,12.99
10.45,81.33,9.58,7.46,1.39
38.65,45.85,5.71,7.37,22.74
26.02,50.22,7.39,14.02,12.39
23.5,89.95,6.21,2.31,10.61
43.9,15.29,2.51,9.86,27.69
25.93,67.69,3.33,17.6,9.21
31.03,15.08,0.58,16.8,19.24
16.79,60.14,0.62,1.26,12.35
12.23,28.97,3.88,17.68,8.58
30.07,70.08,5.05,9.1,14.47
16.86,88.19,3.81,14.58,0.2
23.99,73.1,0.78,4.51,14.46
12.38,39.42,7.16,8.89,12.88
25.37,78.83,5.82,14.16,6.63
28.61,34.9,7.26,7.54,18.13
43.5,72.37,3.55,7.05,18.12
20.45,83.26,8.21,5.27,8.04
36.28,33.36,0.56,15.46,21.48
26.35,16.92,7.23,4.31,25.43
13.95,50.74,6.14,7.16,9.65
41.06,82.04,2.67,8.63,13.74
28.16,15.6,3.18,18.88,20.12
34.05,15.11,7.42,18.94,19.98
15.81,51.87,1.2,8.0,10.65
28.11,75.76,3.06,17.29,6.68
26.02,82.32,7.48,17.95,5.17
13.94,54.02,5.36,18.14,3.62
29.46,61.13,8.48,1.62,18.02
26.38,74.37,9.08,1.7,12.93
21.29,30.04,6.97,16.79,13.9
13.88,80.47,8.4,14.48,0.5
33.88,79.25,2.57,19.77,5.96
33.42,29.22,9.19,1.09,27.21
11.83,19.17,9.57,5.64,18.87
17.66,88.4,5.18,15.27,1.92
31.38,33.23,1.18,14.72,16.85
10.51,86.28,1.18,8.14,1.21
41.08,61.76,3.98,1.38,21.67
42.85,87.64,9.33,7.46,13.54
34.15,30.21,8.52,17.68,17.28
43.83,45.34,3.09,18.8,18.49
10.27,28.24,5.83,4.26,15.57
23.79,32.39,6.0,7.75,18.92
33.89,84.93,2.48,16.46,9.43
44.09,17.44,7.66,14.74,27.96
15.35,79.24,1.9,2.38,10.0
26.89,53.25,4.94,5.74,15.21
12.5,59.53,3.33,0.53,10.73
12.6,44.5,4.77,17.11,6.12
10.24,56.07,3.27,4.39,10.39
22.43,51.22,1.31,2.84,16.73
16.55,56.95,9.08,12.56,9.4
16.92,42.79,1.16,16.82,9.56
16.57,28.23,1.72,15.56,12.4
12.46,39.91,5.32,2.26,15.22
12.04,86.84,8.75,13.47,0.0
22.65,16.92,2.76,17.68,16.36
35.25,60.99,5.86,19.77,10.66
15.3,45.88,9.23,14.52,7.91
10.45,72.34,7.07,0.31,9.93
20.5,81.94,5.96,8.99,6.05
18.76,69.72,0.68,12.3,5.87
33.82,58.68,7.81,11.56,15.9
30.0,47.43,7.96,12.37,14.73
39.56,39.24,3.93,1.38,25.99
42.74,78.98,9.94,13.69,11.87
20.85,71.65,1.81,16.19,3.97
26.14,78.27,8.4,16.03,4.99
43.76,63.04,6.83,10.08,19.47
13.33,29.76,9.06,4.34,16.13
37.91,12.6,3.55,8.57,26.21
28.44,62.39,6.83,10.19,12.38
19.55,39.46,5.29,10.96,14.15
