wind_speed,temperature,pressure,wind_output
5.68,33.07,1045.32,92.73
14.49,7.5,971.73,1523.0
5.25,39.03,1017.25,71.83
2.11,35.31,1012.37,5.37
9.35,-3.87,962.29,407.17
1.86,12.57,1013.86,8.91
8.7,22.47,1023.47,333.57
10.62,20.53,967.35,598.49
13.28,34.85,1039.58,1173.0
12.77,6.89,1017.52,1042.68
1.26,35.63,952.31,0.0
4.67,-0.41,1032.94,56.53
2.51,19.98,1025.36,8.17
10.24,-0.52,993.37,541.66
3.48,11.2,1002.78,25.76
1.03,19.09,973.6,0.0
9.06,14.77,1025.19,374.14
8.74,38.13,1036.13,333.14
11.48,38.24,983.52,753.53
9.79,16.08,988.61,469.95
11.64,33.14,956.82,780.26
4.58,-2.55,1038.02,59.11
10.62,24.72,1002.61,597.82
8.17,28.88,1041.44,274.9
13.37,38.39,951.53,1189.27
1.49,30.45,1026.16,1.86
11.2,5.56,1042.18,708.31
14.14,19.41,1022.23,1413.86
12.91,39.3,968.16,1066.62
6.73,27.82,1007.27,149.53
9.16,28.16,1026.92,382.74
9.22,37.69,966.92,387.78
2.47,16.71,975.8,8.27
2.71,6.4,956.52,10.75
2.23,2.91,961.24,4.42
6.14,19.12,1007.54,114.93
14.06,26.8,1012.46,1391.42
13.46,4.42,978.24,1219.18
2.42,13.72,998.53,8.35
11.36,-2.0,994.87,735.82
4.12,14.94,1028.79,36.95
12.11,3.39,1035.8,897.74
4.57,37.45,1003.4,45.6
10.83,34.14,975.71,631.21
9.12,18.97,1036.96,385.56
2.77,25.65,957.98,6.23
12.11,11.8,999.22,890.83
7.95,-3.52,977.56,255.36
5.14,21.42,950.85,60.68
14.91,-0.82,967.68,1660.39
4.89,29.2,975.47,53.01
10.28,38.89,950.24,532.84
7.69,39.73,990.25,223.06
11.75,5.42,1030.93,817.31
1.09,31.07,966.26,0.0
8.18,3.22,1037.28,279.14
6.71,-4.69,963.56,153.76
12.66,9.13,1005.38,1017.22
4.63,11.12,995.48,50.09
10.62,2.36,1047.54,606.06
14.79,2.02,964.73,1615.78
1.41,27.15,1002.89,0.0
9.34,16.58,950.42,401.39
6.59,6.29,1026.31,149.77
10.9,17.24,1014.23,646.59
5.75,-4.15,1004.99,103.05
6.91,21.29,980.48,161.37
7.56,11.76,1020.63,222.33
9.05,31.56,991.56,370.08
10.95,7.52,952.59,653.42
6.25,9.6,1033.37,126.77
10.99,-4.81,965.51,666.1
2.96,23.38,1006.85,14.08
3.29,-0.41,1009.29,24.84
11.78,13.54,1006.11,819.2
1.12,7.25,1031.14,8.98
14.67,23.68,965.48,1574.06
10.63,30.36,1035.36,602.47
11.96,1.05,1036.35,861.33
10.39,-0.09,971.47,564.95
6.49,-1.65,998.01,139.37
3.95,26.03,975.92,29.29
12.95,14.01,986.36,1085.62
6.95,24.04,970.63,161.9
5.8,18.87,967.94,96.85
3.7,34.79,989.84,20.54
1.08,-2.57,1028.36,10.37
14.33,3.45,954.86,1468.19
3.77,36.49,982.96,23.21
8.86,25.94,972.21,344.75
1.07,14.86,999.89,1.7
12.59,7.88,1042.16,1001.58
11.91,0.76,983.73,849.08
2.84,18.66,1005.49,12.85
1.72,32.77,1035.34,5.38
6.42,36.7,957.06,122.83
11.05,30.69,1001.53,671.58
6.41,36.38,953.27,126.26
12.36,15.09,1041.85,951.68
13.88,10.08,1016.51,1341.13
10.42,26.49,980.65,560.42
7.47,27.89,988.67,206.3
14.76,8.16,960.66,1606.51
2.7,5.03,1041.13,18.79
12.22,22.48,1042.58,914.4
13.46,33.65,963.56,1212.9
1.99,4.73,1028.82,12.44
5.88,14.37,981.0,98.6
8.51,0.05,962.5,310.43
4.34,39.38,993.29,34.72
12.01,27.58,1036.76,866.57
1.4,27.79,1005.31,0.0
8.58,20.2,985.4,314.79
12.35,21.42,979.59,937.1
5.83,28.2,1025.12,99.54
7.27,36.23,1009.26,191.77
11.17,0.18,1004.34,699.43
13.27,18.13,1013.69,1169.07
12.14,23.65,1001.7,894.74
14.52,0.25,1043.2,1541.11
12.38,14.46,975.74,945.06
7.88,7.48,1012.78,250.75
8.14,24.44,1026.84,273.4
5.95,33.36,988.45,103.99
11.87,26.93,999.17,835.28
9.93,31.38,962.28,486.32
5.1,-4.93,954.5,68.66
7.55,21.26,1023.38,217.96
13.21,5.31,974.41,1152.83
2.96,7.97,953.34,9.38
1.2,31.35,1019.77,0.29
4.43,27.92,1013.11,43.84
3.66,39.71,962.17,18.54
3.53,-4.31,1006.36,28.13
2.88,27.81,995.01,9.63
2.6,25.97,977.29,7.53
13.22,11.55,996.48,1155.54
9.14,-4.77,977.5,386.7
4.27,37.85,1007.61,34.86
8.75,11.9,1050.0,338.65
5.47,38.4,1006.67,79.15
8.75,34.98,1030.57,332.7
1.74,28.49,990.13,0.0
1.9,25.95,969.78,0.0
11.26,39.4,972.2,708.55
14.61,11.81,1032.33,1562.47
5.9,15.23,955.9,101.52
9.63,21.65,1034.88,452.3
5.29,25.77,1042.74,79.15
11.43,35.28,980.8,740.71
11.9,12.83,1002.44,841.41
12.06,15.67,1039.73,883.46
3.86,13.12,979.99,30.66
14.1,6.65,980.15,1404.56
13.82,12.46,997.13,1321.65
6.86,38.62,999.34,157.17
4.93,33.65,975.33,53.76
2.49,7.65,956.37,6.46
10.75,5.83,1000.33,624.46
14.31,38.5,969.64,1460.74
10.68,-2.36,959.65,608.08
6.22,28.85,960.75,111.87
10.55,-1.37,966.32,587.66
10.87,35.14,999.13,637.18
1.54,32.4,1025.27,0.0
9.82,4.79,1004.78,475.65
2.14,32.01,983.28,0.36
4.92,-1.76,971.92,59.67
9.36,32.43,1021.79,409.45
7.3,35.03,1006.03,192.79
1.05,32.36,1012.84,1.26
10.44,22.11,1045.82,572.66
12.31,10.83,1008.48,936.7
8.31,-1.95,1040.71,294.45
10.21,26.05,1025.67,535.04
3.6,16.53,1017.65,23.43
6.47,15.64,956.99,134.76
2.37,31.82,979.3,0.07
12.68,3.61,967.02,1018.96
10.94,-1.92,954.84,652.86
5.22,16.79,969.3,67.37
1.54,6.65,1015.9,7.04
2.57,8.69,984.78,11.45
7.37,22.61,971.57,197.38
11.05,39.91,1012.51,670.01
10.31,36.26,1039.84,548.77
13.97,25.55,951.4,1354.72
11.88,5.19,991.38,838.68
5.28,14.09,1011.84,73.42
2.15,-4.19,988.64,11.56
10.52,10.19,1004.13,581.82
10.78,2.61,1007.0,629.46
10.99,9.17,979.35,663.29
8.75,27.39,1007.9,332.99
7.27,28.79,954.11,186.07
9.79,8.0,1017.77,474.38
3.25,13.43,953.4,14.67
7.89,-4.46,976.83,247.6
11.02,20.3,1032.52,674.3
6.48,16.27,958.48,132.81
9.91,27.65,955.53,478.54
14.53,20.37,1012.37,1535.39
3.67,39.19,1049.32,25.87
2.24,24.21,1005.2,5.12
7.85,-0.58,1041.62,247.16
1.17,13.83,1005.01,1.9
4.78,33.1,966.18,49.07
3.83,39.15,1015.07,27.06
6.58,20.77,1048.08,147.44
9.63,16.14,986.8,444.73
2.08,8.94,1015.63,11.08
9.6,11.11,969.92,440.35
14.24,6.22,1016.61,1446.13
7.71,-0.36,1023.98,235.84
2.69,12.98,1033.69,14.24
7.51,30.21,1030.78,214.69
7.28,23.87,965.02,187.42
10.2,12.67,993.65,530.58
11.55,35.03,959.04,762.42
14.39,6.66,960.73,1489.73
11.96,12.18,1028.85,862.06
11.79,31.5,1030.81,819.13
10.53,9.46,951.62,583.67
8.5,8.23,1033.56,311.18
7.54,16.85,995.68,216.77
14.3,-2.63,1002.03,1466.32
2.82,23.3,999.41,8.22
3.65,1.36,969.84,22.67
6.29,6.09,981.71,122.58
6.5,25.21,1040.37,138.14
4.85,18.23,996.71,58.31
12.02,2.85,1018.43,876.35
2.42,-3.63,977.44,6.66
12.94,12.87,980.67,1085.84
10.19,18.75,1005.8,529.57
3.52,5.68,1026.34,26.85
1.48,32.1,981.49,0.0
9.59,39.56,994.84,433.62
3.75,23.98,1028.96,30.17
7.81,10.16,955.47,234.28
7.19,35.13,1011.92,182.7
10.52,9.25,950.17,577.09
8.04,25.28,1012.74,257.41
5.06,34.94,975.83,59.43
2.77,27.79,967.07,7.52
13.32,19.25,1047.42,1185.87
12.3,8.4,983.71,932.9
8.06,37.91,973.35,256.03
13.3,36.88,1023.36,1173.46
6.56,9.08,992.86,140.36
3.31,36.25,981.75,11.57
9.73,28.12,1005.25,457.14
1.2,26.64,960.71,0.0
10.64,7.78,985.54,600.52
12.98,12.2,998.2,1096.34
10.09,-3.52,970.93,513.26
8.65,11.77,1043.82,329.06
1.05,33.31,1008.41,0.0
8.27,23.84,1018.62,285.59
7.97,28.21,950.59,243.86
3.87,2.72,1026.06,32.72
5.29,-2.78,1035.41,79.56
1.51,14.59,969.64,0.0
8.72,26.41,965.37,326.78
11.7,19.85,989.34,799.11
7.0,35.85,960.88,166.01
8.5,20.29,1016.1,308.06
3.25,3.05,955.53,13.3
12.93,10.31,1033.57,1087.66
13.6,24.62,1047.79,1260.11
14.24,16.3,1039.91,1447.63
10.37,35.22,1022.59,558.35
5.65,2.03,957.05,86.57
3.37,29.5,981.24,13.22
12.29,13.67,980.44,929.01
13.33,14.32,1000.15,1187.23
6.22,9.25,1042.37,129.27
11.05,24.98,1013.02,677.44
1.81,26.46,1029.22,7.27
12.84,22.12,977.9,1055.42
14.75,-1.55,957.62,1607.37
10.53,23.54,1020.23,583.39
3.69,1.3,1043.02,32.62
1.21,12.79,1037.29,5.9
3.44,4.77,1035.22,26.85
2.79,-0.13,994.08,16.16
6.28,2.91,951.24,121.85
1.93,13.71,959.28,1.08
11.02,-3.67,1037.02,680.19
6.51,-1.56,1008.87,141.26
11.77,11.12,959.13,815.49
13.39,-0.09,969.15,1201.45
3.7,9.02,960.87,21.93
14.3,27.53,956.26,1457.0
10.71,11.13,1038.79,617.38
2.41,31.34,986.86,2.54
4.88,16.38,1013.05,62.08
6.82,11.69,1002.59,161.12
5.44,19.93,992.87,79.17
14.7,28.35,1020.27,1591.33
14.03,34.45,1013.94,1378.11
9.11,37.45,1033.09,377.2
5.11,24.6,1003.11,63.52
6.97,37.83,957.74,160.68
10.65,38.16,1001.5,599.02
5.93,2.8,1015.05,108.39
5.79,9.44,993.16,99.32
3.51,37.17,1031.93,18.85
11.81,21.09,998.67,823.06
7.28,35.86,1015.72,190.79
9.7,17.89,1028.92,461.77
1.64,21.84,1013.47,5.71
11.75,6.77,1000.51,814.35
1.31,8.09,1011.66,3.13
11.78,22.4,1009.15,820.25
3.8,20.37,1010.74,26.3
1.71,30.93,982.52,0.0
2.11,26.83,987.67,0.6
2.12,25.78,1003.3,2.29
13.41,7.86,1005.29,1206.4
4.01,-0.86,975.74,36.02
14.77,-3.26,1043.28,1617.54
7.88,-2.77,998.56,248.96
13.21,-0.9,1033.12,1161.04
5.0,19.72,1002.01,59.86
10.46,21.86,1006.63,571.08
9.83,-4.53,1007.67,480.71
1.94,16.61,971.37,3.81
11.19,25.78,977.0,694.44
2.41,-0.94,998.93,12.33
14.25,10.5,1045.23,1453.26
10.13,17.93,1023.48,521.36
11.88,11.47,1008.23,843.76
9.66,24.29,980.13,450.09
12.24,-4.93,1045.43,926.16
4.8,17.02,1045.96,60.52
4.4,36.92,1041.43,41.37
10.9,7.17,1010.73,651.18
1.54,-0.48,992.97,5.49
13.67,6.0,1008.27,1282.48
12.79,19.66,998.25,1044.06
6.12,-4.18,1036.55,122.53
9.77,39.76,1041.56,464.6
13.64,15.78,1032.08,1270.62
2.07,26.98,1033.3,5.29
6.71,16.38,1021.76,156.89
12.04,0.95,1009.32,875.6
11.8,-0.29,1049.93,831.08
3.16,-1.08,1037.2,24.11
3.57,29.44,1046.7,23.74
12.3,16.37,1037.52,936.71
4.6,27.46,1009.55,45.33
7.1,0.74,999.22,183.62
6.28,5.49,1018.17,131.41
5.31,12.42,1034.19,79.06
5.6,0.24,1020.63,91.05
6.07,0.58,988.15,112.36
5.32,33.16,1038.55,76.34
13.21,10.85,972.61,1153.67
13.6,26.29,973.84,1254.23
3.39,32.12,957.53,10.24
6.7,12.74,995.81,150.73
2.54,1.89,978.29,12.25
5.6,27.16,1024.4,86.29
8.2,30.59,1015.78,273.56
13.14,20.19,996.86,1134.87
2.66,23.38,1040.43,10.96
3.17,20.87,993.71,12.79
10.72,21.98,1021.22,619.31
4.21,3.5,1027.55,41.99
14.36,27.53,1048.4,1481.4
4.09,37.86,1034.44,36.86
12.91,38.46,1036.33,1074.41
6.63,12.97,975.56,142.76
14.79,-2.75,962.05,1616.08
14.69,7.81,977.96,1586.68
5.29,36.18,1037.6,76.3
11.43,28.71,1018.5,748.06
14.67,-4.61,1016.39,1582.48
9.94,22.47,986.09,491.81
13.17,-4.44,984.6,1148.26
5.52,4.76,974.22,86.33
13.86,24.06,984.76,1331.35
1.07,0.47,1017.34,5.95
9.48,39.13,1009.68,423.34
6.41,4.86,1041.87,137.81
4.48,-1.68,1042.99,53.74
6.45,0.01,1035.17,143.54
14.76,26.89,951.37,1601.1
5.81,20.77,1024.77,102.98
6.35,8.74,1040.22,132.6
11.82,17.51,1042.79,833.4
9.94,19.2,969.34,489.06
9.35,1.08,1019.51,414.84
6.27,27.4,982.84,122.43
9.64,-0.79,952.43,445.05
6.83,3.22,980.33,158.25
12.58,20.79,984.12,992.05
9.6,19.16,993.97,441.42
7.11,13.66,953.27,173.95
2.97,26.99,962.97,10.1
12.78,39.36,971.09,1035.97
9.16,20.94,971.05,378.44
2.26,7.18,972.79,2.95
11.14,31.52,1001.92,692.06
11.69,8.99,954.95,796.18
12.14,1.05,958.19,895.24
2.68,27.13,997.4,5.37
13.01,6.12,993.91,1105.45
8.05,8.62,1033.94,266.1
5.31,23.3,976.57,74.16
1.34,2.41,1004.43,7.9
8.31,24.89,1001.24,287.34
14.68,10.36,970.72,1583.41
13.77,31.88,1036.55,1303.84
4.43,-2.34,994.79,45.13
14.47,25.68,995.8,1511.37
7.71,22.07,1002.65,227.87
12.56,12.57,1030.19,995.21
8.59,31.57,1038.27,318.64
14.34,9.41,979.38,1474.77
12.52,-1.12,960.54,984.06
10.93,14.62,968.12,648.91
14.12,7.3,1033.92,1412.55
3.57,27.7,1038.61,22.45
10.99,39.98,1019.6,661.3
8.46,12.62,1020.98,307.96
9.15,12.03,1040.29,387.86
14.16,5.29,1042.3,1429.15
12.46,8.52,1003.44,972.65
6.49,-0.02,984.48,138.42
13.61,29.2,989.15,1254.62
2.34,25.58,1044.92,10.62
9.69,18.65,1036.12,457.73
13.83,33.08,1043.05,1325.63
8.51,6.91,995.67,312.33
6.07,33.35,1010.25,113.1
10.55,33.66,1039.83,590.89
8.18,2.45,1000.79,277.48
11.53,18.45,1014.04,767.03
14.58,28.99,975.43,1544.31
9.2,-2.72,1029.38,396.45
9.26,20.79,954.1,392.99
12.18,5.29,977.77,901.59
10.04,-0.79,964.77,505.62
13.37,24.76,991.07,1192.03
8.07,2.39,1027.89,268.72
13.38,5.6,1000.18,1202.2
9.46,14.24,973.72,421.71
11.2,35.54,991.85,696.2
3.48,3.72,1030.45,24.7
13.53,37.68,992.67,1231.26
7.57,33.99,1046.73,215.93
4.36,36.45,969.52,33.96
8.26,32.25,1039.87,283.66
6.43,24.64,1022.78,137.24
7.67,3.21,954.34,227.36
13.61,-4.59,1013.26,1266.65
12.8,4.79,1043.72,1056.67
2.53,35.82,952.19,2.44
5.73,7.87,1023.68,101.78
3.32,0.92,980.23,20.49
5.4,10.1,1034.23,82.28
4.02,29.62,1045.13,37.09
11.52,18.72,1040.61,770.87
9.83,30.62,1038.85,479.0
12.15,33.89,974.89,889.63
7.07,5.55,1049.9,182.62
5.17,23.24,1001.51,66.17
9.13,22.64,975.39,379.75
10.78,29.44,1024.12,626.59
13.61,3.93,953.93,1260.33
2.44,4.61,1005.36,13.48
11.41,36.3,1001.4,740.36
14.05,29.08,1005.88,1388.25
6.87,16.72,1042.87,168.67
1.58,30.89,1012.65,2.32
2.94,25.81,970.52,8.61
1.14,32.24,973.02,0.0
8.13,24.78,1043.53,270.93
8.25,19.09,979.5,279.74
8.4,30.63,966.25,288.88
3.38,4.14,1044.39,25.19
14.01,20.4,986.65,1374.27
9.62,31.4,972.14,440.84
7.39,26.0,979.16,200.34
4.14,1.21,1033.09,40.57
12.21,20.45,1038.67,915.23
3.29,6.29,977.81,16.47
8.54,27.13,960.4,303.41
9.51,25.24,1039.27,431.61
6.16,-1.4,992.89,122.37
13.64,-2.02,1018.34,1272.66
13.76,35.21,952.42,1295.47
5.75,19.28,978.14,90.03
1.92,6.65,1012.71,5.13
10.58,6.04,1047.41,599.2
8.98,-4.13,1046.01,370.54
6.42,30.31,986.83,128.51
1.63,20.76,1033.72,6.46
4.12,9.7,1006.09,40.38
12.7,-3.15,965.72,1027.2
12.58,28.38,984.0,992.39
14.54,36.02,956.49,1530.23
10.28,10.35,998.58,543.08
4.28,28.1,1035.16,41.59
8.32,32.08,965.38,281.9
7.1,6.0,954.71,175.1
6.35,36.22,1041.71,130.92
3.08,10.06,1032.23,22.04
12.22,27.57,979.29,911.26
1.52,25.33,1017.26,4.33
4.28,32.28,1036.86,40.27
3.25,5.56,1049.86,27.65
12.61,32.76,1045.95,1005.54
14.07,7.78,983.64,1394.79
1.25,18.77,997.04,1.0
6.3,10.11,983.44,125.15
11.83,11.93,1044.81,833.46
12.9,9.41,1020.76,1077.59
3.0,0.88,1008.13,20.38
10.13,27.62,1015.49,519.97
4.36,-1.34,996.18,42.64
11.05,3.18,975.48,673.88
6.34,26.6,979.65,125.87
11.08,-0.25,1024.31,683.76
11.02,28.62,974.8,665.69
14.8,14.99,953.63,1615.44
11.96,7.01,986.74,855.42
10.14,10.37,1005.52,523.44
10.77,32.13,1032.58,624.56
3.73,28.84,964.9,18.81
4.84,11.01,997.19,55.74
11.9,37.55,1049.0,844.89
4.76,5.0,979.72,56.75
13.43,39.29,961.97,1201.17
10.1,-0.22,1025.61,519.18
9.37,1.09,1006.52,417.58
2.0,3.75,959.77,2.07
9.28,-1.71,996.13,402.48
7.12,21.79,1048.77,187.2
14.38,10.14,972.95,1484.12
3.57,-1.39,994.41,28.97
4.54,28.6,987.45,45.98
12.19,32.76,1037.57,907.93
11.11,8.38,989.98,687.31
3.71,24.95,990.13,21.91
5.43,23.27,1025.84,83.25
6.01,24.72,995.25,106.92
13.25,19.06,977.1,1163.6
14.23,31.29,1022.83,1438.45
1.36,2.72,991.34,4.49
7.41,4.15,973.79,203.12
8.58,32.53,977.62,310.47
4.64,-0.12,994.02,51.27
8.63,18.28,967.32,320.1
9.49,20.36,980.54,423.48
10.49,32.95,981.32,569.78
2.96,2.95,1025.56,16.73
12.68,37.45,978.38,1012.59
2.27,22.74,1046.04,12.41
8.8,-0.46,1043.69,347.83
1.57,-3.8,951.95,2.17
13.49,37.71,956.92,1221.09
7.09,35.87,984.93,173.92
13.9,21.92,1026.76,1345.17
7.19,21.8,982.76,182.38
9.06,14.26,1029.53,376.09
3.88,20.34,980.47,25.56
5.23,21.9,994.03,71.18
3.21,5.73,1010.06,22.43
9.32,16.34,1034.81,407.69
1.48,6.47,989.56,4.84
5.16,9.97,1046.45,76.37
3.34,15.41,985.77,16.48
9.38,0.42,1001.4,418.74
1.91,-3.58,1016.02,9.46
4.47,26.88,989.43,39.86
6.37,11.74,1043.04,137.54
2.54,38.88,967.59,0.0
14.6,17.85,1004.71,1557.94
4.41,16.68,992.39,44.2
8.72,31.65,1004.69,331.07
7.49,4.59,1025.92,216.76
7.73,20.67,1026.38,234.98
1.35,39.59,1025.58,0.0
3.83,35.12,997.78,24.25
2.84,10.65,989.52,15.22
3.86,20.17,1005.95,28.91
8.78,26.85,973.6,337.27
13.48,17.24,955.83,1219.81
11.22,38.97,1043.48,704.44
13.56,20.64,1034.36,1252.12
9.95,7.67,977.49,490.64
3.59,11.68,1029.83,29.23
2.58,34.91,1001.24,8.33
4.94,15.01,1023.48,60.92
7.2,29.79,1030.72,189.74
5.83,14.41,1014.02,103.82
5.44,6.28,1010.15,82.69
5.81,29.56,974.14,92.43
7.48,30.03,1033.2,210.3
14.14,13.21,998.49,1413.41
12.93,38.32,1037.66,1081.97
14.0,-0.68,951.85,1371.3
6.65,-3.14,998.93,153.62
9.41,36.34,972.88,409.46
13.71,19.16,967.64,1285.57
7.31,10.15,1003.16,199.37
9.85,35.46,1024.94,479.52
11.32,18.81,1031.2,726.02
6.92,11.38,1012.03,170.88
12.39,15.97,966.31,949.03
3.08,29.7,1033.34,13.48
8.8,35.23,990.72,334.4
3.07,13.69,951.09,12.83
12.94,6.18,950.08,1081.49
6.42,10.08,1032.29,139.11
13.06,18.8,1016.75,1115.06
7.56,8.98,954.71,211.08
10.26,37.33,993.51,536.74
13.48,26.66,1047.71,1227.5
2.63,16.16,1047.3,14.64
4.47,38.56,1046.39,43.7
11.97,25.47,978.26,855.59
3.21,31.89,979.89,10.0
10.04,-3.11,993.77,512.93
10.36,29.03,975.82,550.26
8.13,33.13,955.9,259.37
2.9,37.02,1014.57,11.02
4.34,20.89,1021.19,42.54
7.03,38.66,1036.76,173.2
2.24,39.66,977.72,1.48
2.56,3.8,1049.77,13.82
13.46,14.5,960.16,1218.75
10.62,32.28,1010.13,598.43
9.17,16.82,983.56,382.54
8.63,24.7,1018.47,324.02
3.42,29.94,1024.8,18.18
1.64,22.79,990.69,3.48
1.57,4.24,1028.12,5.37
6.41,38.09,981.47,127.8
4.61,14.1,961.83,43.73
14.67,24.44,1016.71,1581.06
13.71,0.09,959.93,1289.52
3.6,20.69,970.34,18.28
13.63,21.18,1033.83,1268.9
9.62,39.59,952.39,435.18
11.1,-4.41,1019.29,689.18
11.52,39.32,981.08,760.87
14.77,27.69,992.96,1606.35
9.03,34.07,1045.28,368.97
10.16,39.72,1004.18,520.14
3.66,15.43,1025.67,26.57
1.14,32.66,1015.99,0.0
8.64,10.45,1031.15,329.13
13.06,7.51,994.85,1113.03
1.88,1.84,992.81,7.73
7.89,23.05,1036.94,246.97
14.14,2.81,1031.24,1419.71
2.89,5.33,1014.95,13.67
14.72,30.93,952.74,1586.82
1.64,0.58,1029.33,10.12
1.34,11.01,1025.71,5.52
6.47,0.63,969.27,137.16
1.7,20.78,1037.49,7.47
8.57,29.29,959.32,306.27
11.65,29.39,1018.06,792.57
3.37,25.85,950.65,14.94
6.3,13.4,1041.41,133.36
5.08,18.69,1009.77,66.73
12.4,-0.91,991.24,956.19
2.43,23.29,1028.86,11.38
9.94,6.72,1016.99,492.57
1.09,12.31,1030.25,6.65
7.08,12.17,976.11,176.66
1.12,4.77,988.66,2.42
6.57,39.08,975.84,133.98
2.59,21.7,1032.99,12.38
1.84,19.5,952.22,0.0
5.82,36.36,1033.26,99.02
3.72,15.71,953.11,22.5
7.17,3.79,998.85,189.18
11.38,23.24,990.31,735.38
9.01,33.48,995.37,365.22
13.06,3.78,1031.29,1119.14
10.21,-2.63,1010.73,539.32
1.52,12.39,981.5,1.98
10.22,4.39,958.72,530.08
12.63,34.35,1015.68,1008.85
11.87,35.44,961.09,830.65
6.16,26.08,1020.78,116.88
12.44,13.81,1031.51,964.19
7.15,23.79,981.0,182.1
3.9,-1.8,1011.62,35.95
7.71,35.31,998.07,224.96
1.88,36.37,969.26,0.0
5.74,26.69,1004.87,91.69
4.16,26.69,996.37,36.77
7.46,24.0,963.62,200.41
1.73,38.19,1013.41,0.01
10.5,10.57,1036.3,586.51
6.95,23.14,969.53,164.2
3.57,-1.45,967.83,24.59
12.13,35.48,1024.33,890.5
6.38,38.59,981.65,123.49
2.69,30.71,979.75,7.93
9.49,27.7,1013.8,428.04
13.33,38.35,1027.83,1183.91
6.16,39.07,1011.7,116.59
8.83,39.99,998.98,341.95
4.13,35.71,1000.95,30.01
13.0,-1.96,952.72,1095.4
3.34,11.14,989.97,20.6
13.02,15.9,1049.33,1109.19
9.61,-1.44,978.03,445.64
11.09,19.19,1038.94,686.88
12.59,30.18,994.12,997.45
7.91,33.84,1028.39,246.96
4.47,29.7,1027.1,43.89
10.61,14.27,978.44,599.01
7.09,23.63,976.57,172.24
10.14,35.26,974.32,513.96
11.7,36.31,1013.39,801.77
14.39,38.4,1020.47,1490.92
8.49,0.41,982.27,307.74
8.84,30.1,952.46,337.43
10.01,-2.49,959.27,504.37
9.5,23.19,990.3,428.43
9.06,5.83,993.93,371.28
4.24,21.74,1025.24,41.19
8.06,10.04,1000.99,260.93
2.43,6.41,1004.22,9.03
9.78,-1.23,990.42,471.34
12.89,35.81,1033.29,1072.67
9.53,27.45,1005.26,433.22
11.21,18.52,994.83,706.43
2.11,0.75,1000.12,6.16
6.59,38.0,984.15,136.5
5.41,-3.62,1006.88,83.46
4.11,18.88,999.69,34.12
7.18,38.33,975.31,177.52
6.1,24.59,989.15,111.68
