temperature,humidity,wind_speed,thermal_output
44.29,60.99,17.91,1.89
13.93,49.28,1.41,0.0
-1.03,50.45,11.06,0.0
-3.17,62.44,19.82,0.0
-7.76,77.16,2.84,0.0
0.07,45.69,16.04,0.0
-9.3,27.84,2.03,0.0
1.13,73.15,5.83,0.0
5.48,30.68,10.7,0.0
42.46,64.45,8.77,3.24
10.66,63.84,2.6,0.0
16.02,31.15,14.62,0.0
27.82,32.55,14.31,1.78
37.84,87.9,12.89,0.0
-7.29,84.15,15.22,0.0
9.12,25.89,13.76,0.0
28.2,48.48,6.56,0.36
21.26,39.79,18.57,0.0
17.12,26.11,17.42,0.0
18.52,43.77,4.68,0.0
10.33,45.38,6.01,0.0
8.79,98.52,5.31,0.0
26.97,98.4,5.18,0.0
1.98,58.18,14.96,0.0
24.97,64.02,2.4,0.0
25.29,98.19,6.08,0.0
17.04,30.29,9.43,0.0
20.17,33.5,10.57,0.0
11.59,82.67,5.51,0.0
0.41,91.88,9.87,0.0
-1.29,67.28,16.38,0.0
42.28,56.77,8.99,4.18
18.7,57.2,13.34,0.0
-3.37,59.97,17.9,0.0
13.81,53.62,7.56,0.0
-9.8,65.58,2.36,0.0
7.19,42.23,3.34,0.0
34.19,81.17,1.14,0.0
12.69,56.42,2.37,0.0
32.8,48.09,9.12,2.79
-0.77,53.41,5.68,0.0
19.57,79.55,8.61,0.0
-4.17,41.49,9.81,0.0
14.1,44.72,13.45,0.0
7.53,79.78,10.56,0.0
6.62,21.72,14.54,0.0
19.03,54.81,6.19,0.0
-4.13,58.65,5.42,0.0
40.25,32.63,18.52,4.65
28.15,84.08,1.18,0.0
-6.38,71.1,15.76,0.0
36.48,50.23,6.0,5.24
29.11,77.97,8.77,0.0
43.88,78.6,5.98,3.88
-5.23,93.55,10.89,0.0
27.91,67.95,14.5,0.0
23.72,81.25,0.96,0.0
3.75,80.67,1.14,0.0
7.97,53.42,10.08,0.0
-1.61,78.81,11.31,0.0
29.03,21.6,10.82,2.15
38.88,80.36,19.46,0.0
-2.54,33.56,2.05,0.0
28.68,96.77,8.01,0.0
-6.78,24.15,15.75,0.0
30.61,43.09,12.56,1.26
2.98,27.46,6.15,0.0
32.34,94.25,18.31,0.0
-9.89,88.43,0.22,0.0
19.56,59.5,16.05,0.0
-7.77,39.79,10.63,0.0
40.94,55.1,14.78,3.51
-1.36,21.04,16.7,0.0
41.5,38.7,7.54,9.86
18.4,68.73,10.99,0.0
39.06,30.72,13.49,6.34
-2.6,35.56,10.72,0.0
-9.89,43.12,1.18,0.0
41.3,38.45,18.8,7.21
35.29,50.06,1.99,3.85
-7.37,20.14,1.32,0.0
-6.85,92.96,13.46,0.0
-8.01,42.18,0.03,0.0
36.24,42.55,10.44,5.62
44.56,24.47,15.72,11.07
43.48,87.99,18.73,0.0
4.01,73.55,6.63,0.0
10.07,96.73,6.11,0.0
27.36,40.94,11.68,0.0
41.5,62.83,7.88,5.39
-8.86,35.31,16.35,0.0
9.32,96.34,9.12,0.0
28.03,33.51,19.16,0.0
-5.38,34.44,2.12,0.0
36.8,97.66,10.11,0.0
-2.63,93.51,19.97,0.0
0.8,30.22,18.09,0.0
36.43,79.37,8.09,0.0
32.52,23.1,2.22,9.02
43.26,58.29,7.77,4.68
7.77,53.39,9.76,0.0
0.15,31.17,0.82,0.0
16.32,27.82,17.65,0.0
34.78,48.34,5.46,3.47
12.65,66.72,5.49,0.0
38.57,30.21,18.86,4.84
-8.2,46.05,8.54,0.0
21.86,77.76,2.64,0.0
13.61,81.8,9.56,0.0
26.84,65.42,4.47,0.0
16.33,85.77,2.37,0.0
24.1,64.74,15.53,0.0
0.13,93.79,0.61,0.0
17.71,66.52,5.9,0.0
12.99,34.45,6.22,0.0
27.78,66.29,6.59,0.0
2.25,85.02,10.9,0.0
6.77,61.8,8.61,0.0
29.6,72.43,13.71,0.0
35.12,52.28,1.36,4.94
25.11,22.28,1.65,3.69
22.17,58.99,13.58,0.0
33.74,81.53,3.24,0.0
36.21,72.04,7.1,0.0
-2.26,34.43,0.07,0.0
-1.33,77.21,19.33,0.0
41.0,58.82,10.61,2.99
36.19,75.82,7.42,0.32
30.76,27.1,1.97,5.09
21.62,49.76,5.51,0.0
19.86,74.6,17.68,0.0
29.67,85.8,16.11,0.0
30.71,69.41,11.89,0.0
38.73,33.09,1.65,10.61
1.26,60.79,18.09,0.0
22.53,91.36,13.01,0.0
35.68,40.49,7.43,4.95
43.26,58.69,18.57,3.77
39.02,76.13,6.83,0.0
29.37,20.41,2.18,5.56
2.21,89.9,1.56,0.0
1.71,83.29,0.6,0.0
35.89,61.68,18.32,0.0
0.53,84.62,19.79,0.0
16.26,26.99,9.72,0.0
23.14,72.57,5.95,0.0
32.63,21.58,7.64,8.02
2.88,36.26,7.39,0.0
16.0,94.41,16.78,0.0
41.48,44.19,17.4,4.67
-5.18,32.68,16.48,0.0
19.49,59.46,10.12,0.0
8.79,77.77,13.8,0.0
3.23,96.0,18.06,0.0
44.2,83.38,17.77,0.0
4.79,25.08,7.19,0.0
-5.57,68.26,18.99,0.0
20.13,26.34,11.22,0.0
8.4,79.33,0.56,0.0
6.41,41.74,4.65,0.0
-2.17,89.36,18.1,0.0
44.35,63.57,8.58,3.6
10.18,64.67,19.94,0.0
-4.48,28.36,8.71,0.0
2.84,30.05,9.12,0.0
-2.28,81.27,7.16,0.0
41.59,87.49,9.31,0.0
23.21,82.92,5.75,0.0
15.07,41.71,12.31,0.0
43.22,57.72,1.59,6.81
4.87,59.84,19.72,0.0
28.01,29.55,3.67,5.62
8.4,26.24,2.95,0.0
9.92,51.68,5.36,0.0
8.72,39.42,18.72,0.0
36.83,46.58,17.14,1.17
-4.89,63.58,17.4,0.0
1.22,33.43,2.79,0.0
7.19,37.44,5.84,0.0
4.39,22.22,10.37,0.0
27.0,66.87,8.39,0.0
41.07,88.52,9.86,0.0
15.96,95.79,15.6,0.0
-0.54,97.19,3.01,0.0
4.84,39.15,10.56,0.0
3.64,99.06,4.96,0.0
43.41,32.95,19.38,7.29
0.52,95.01,18.48,0.0
-3.26,97.43,7.62,0.0
4.01,84.54,2.97,0.0
28.06,46.93,18.07,0.0
7.91,57.07,0.37,0.0
29.75,42.81,19.04,0.0
43.25,54.44,5.42,6.5
35.9,47.95,17.92,1.76
12.5,38.18,2.21,0.0
21.74,36.7,12.76,0.0
0.12,36.39,18.95,0.0
0.76,40.02,14.06,0.0
16.61,39.32,9.53,0.0
11.95,72.93,6.39,0.0
26.69,78.68,7.42,0.0
28.82,79.15,15.34,0.0
20.49,38.2,10.47,0.0
29.36,69.96,16.8,0.0
16.9,26.08,12.36,0.0
12.53,78.49,17.03,0.0
10.65,41.63,1.66,0.0
39.47,31.5,11.74,9.28
15.48,82.61,17.03,0.0
-2.77,29.13,4.81,0.0
35.94,97.42,7.29,0.0
0.49,85.39,7.62,0.0
-6.93,39.34,2.63,0.0
31.81,77.79,6.39,0.0
20.67,94.69,12.55,0.0
29.11,96.92,14.0,0.0
4.18,63.22,11.52,0.0
15.09,93.88,4.27,0.0
-2.79,26.52,16.24,0.0
25.18,22.21,16.14,1.17
43.38,52.64,1.39,10.36
23.19,65.13,11.74,0.0
22.83,69.67,9.28,0.0
4.61,24.62,1.41,0.0
-0.74,53.62,14.96,0.0
6.82,58.16,5.15,0.0
-1.81,70.17,7.22,0.0
-2.01,77.31,12.44,0.0
32.3,69.02,3.54,0.0
38.98,55.86,15.9,1.19
44.13,55.04,11.53,8.0
15.11,84.55,11.72,0.0
26.99,23.65,4.41,5.25
8.25,42.36,12.16,0.0
-8.01,34.15,2.49,0.0
7.24,98.52,8.54,0.0
34.28,86.5,17.63,0.0
-0.89,30.04,0.28,0.0
-9.67,68.1,8.66,0.0
24.68,44.23,4.78,0.0
38.82,34.47,14.61,6.0
-7.77,68.83,11.66,0.0
5.15,65.89,11.3,0.0
-1.72,92.61,5.2,0.0
4.38,43.24,2.99,0.0
26.65,77.74,13.67,0.0
34.53,40.53,13.46,4.29
-5.12,65.49,3.28,0.0
-4.01,38.12,13.83,0.0
18.06,87.63,11.58,0.0
4.95,84.71,12.82,0.0
16.37,84.53,6.14,0.0
42.26,84.64,1.05,3.91
24.13,62.84,14.79,0.0
4.52,43.14,10.31,0.0
34.05,76.24,3.26,0.0
11.61,77.09,11.09,0.0
24.69,80.45,6.51,0.0
12.56,86.87,12.42,0.0
9.06,49.72,11.9,0.0
-0.33,80.66,10.23,0.0
39.65,24.35,4.89,12.51
-5.78,98.28,3.89,0.0
23.42,30.94,5.36,0.66
-5.8,52.01,0.15,0.0
39.67,73.08,5.19,2.54
19.62,46.27,17.97,0.0
-0.39,81.44,18.01,0.0
25.96,27.48,9.0,2.92
25.92,48.74,5.44,0.0
15.77,31.0,10.01,0.0
-5.71,82.3,2.45,0.0
15.9,98.83,13.38,0.0
43.54,84.95,11.59,0.53
42.43,86.81,11.61,0.0
32.76,34.64,0.72,8.13
14.62,57.88,6.82,0.0
34.79,37.66,12.58,3.55
-8.06,69.57,15.97,0.0
43.66,28.98,17.86,7.79
33.29,40.75,3.83,5.49
25.79,74.12,11.65,0.0
-7.49,72.17,2.13,0.0
-7.15,80.26,12.79,0.0
-7.96,79.49,7.81,0.0
16.17,34.92,10.78,0.0
5.73,75.8,16.09,0.0
5.27,69.01,16.68,0.0
15.74,97.45,2.19,0.0
34.61,79.63,14.41,0.0
7.85,69.67,5.28,0.0
39.63,93.22,6.5,0.0
26.6,28.22,11.11,2.72
5.5,35.74,11.68,0.0
11.86,23.52,8.49,0.0
5.91,78.16,15.5,0.0
41.52,41.24,4.95,9.3
38.23,78.0,17.75,0.0
11.26,65.39,16.64,0.0
6.47,85.36,10.07,0.0
23.2,97.59,17.33,0.0
10.06,45.23,19.64,0.0
42.18,29.87,0.99,12.63
32.17,23.16,9.23,3.95
8.26,35.11,18.03,0.0
26.09,30.53,16.99,0.0
19.2,94.38,1.49,0.0
-8.01,46.48,7.58,0.0
13.6,89.06,4.32,0.0
25.0,56.93,11.1,0.0
17.06,45.26,12.96,0.0
28.85,58.98,2.79,0.0
42.23,65.94,14.37,3.32
24.34,76.86,2.48,0.0
38.95,41.18,6.78,7.75
37.94,86.45,4.53,0.0
2.05,34.1,4.71,0.0
31.3,74.54,4.03,0.0
-0.29,37.64,7.93,0.0
23.71,99.59,2.55,0.0
11.92,20.67,12.69,0.0
0.85,56.25,18.93,0.0
-2.39,38.02,7.63,0.0
15.4,43.48,17.23,0.0
29.93,82.73,14.7,0.0
0.41,70.97,17.84,0.0
25.0,48.46,16.5,0.0
26.64,46.75,18.49,0.0
9.25,49.78,15.59,0.0
-1.02,64.9,1.14,0.0
-6.26,65.38,5.93,0.0
9.03,81.06,17.47,0.0
34.32,77.89,5.59,0.0
-3.84,64.68,9.12,0.0
37.32,70.04,18.22,0.0
40.34,86.55,19.17,0.0
18.52,75.43,1.25,0.0
30.48,79.57,9.37,0.0
-2.1,98.89,3.29,0.0
22.87,46.43,3.24,0.0
34.08,39.04,14.32,0.81
-2.5,39.95,15.6,0.0
-0.57,83.08,7.98,0.0
10.9,78.66,8.22,0.0
34.62,99.57,5.31,0.0
33.0,48.64,12.06,0.0
1.15,27.82,7.81,0.0
15.5,75.12,7.58,0.0
5.16,39.44,0.92,0.0
-2.59,21.51,16.67,0.0
32.14,64.22,18.39,0.0
40.4,95.96,13.89,0.0
0.21,27.42,6.64,0.0
-5.2,58.77,16.05,0.0
38.0,86.35,13.62,0.0
27.03,99.97,5.31,0.0
19.9,29.8,3.57,0.0
16.47,66.69,3.31,0.0
40.94,38.87,4.73,8.35
13.55,72.32,11.71,0.0
11.31,89.87,3.08,0.0
10.79,68.93,18.95,0.0
33.59,24.54,18.14,2.95
39.26,65.99,16.33,0.0
15.37,67.8,6.49,0.0
10.7,20.73,12.38,0.0
-2.64,87.0,16.25,0.0
20.38,62.03,1.6,0.0
-2.4,26.25,9.59,0.0
33.14,81.48,5.57,0.0
6.43,42.22,1.4,0.0
3.38,38.58,13.91,0.0
-4.97,82.18,10.9,0.0
15.84,87.15,16.7,0.0
18.19,61.16,14.38,0.0
13.84,23.16,12.37,0.0
36.18,22.09,14.57,6.01
40.26,71.23,16.34,0.0
13.52,24.12,10.64,0.0
41.03,76.05,14.86,0.0
37.72,68.64,8.46,0.0
26.15,89.4,1.66,0.0
-8.51,96.99,11.49,0.0
38.41,80.07,15.71,0.0
32.86,95.62,12.92,0.0
-7.85,38.99,11.34,0.0
4.36,74.59,6.54,0.0
-3.95,34.59,8.55,0.0
31.44,67.76,5.79,0.0
15.74,74.41,4.26,0.0
-7.07,22.82,0.84,0.0
34.24,96.79,6.74,0.0
19.77,20.1,1.78,0.0
9.46,56.46,0.45,0.0
26.1,43.21,11.01,0.0
24.23,41.16,11.23,0.0
29.4,89.19,2.86,0.0
29.76,82.29,19.45,0.0
10.05,87.51,12.64,0.0
23.71,31.91,19.5,0.0
35.72,73.38,16.06,0.0
-3.54,62.82,4.0,0.0
30.21,25.93,8.73,4.38
-4.67,83.37,11.5,0.0
18.19,95.8,13.51,0.0
36.75,50.59,3.47,6.54
31.38,36.58,10.35,3.06
10.69,84.24,7.69,0.0
18.21,78.92,7.17,0.0
44.9,79.59,9.62,0.77
2.53,87.61,10.78,0.0
22.01,49.57,16.36,0.0
16.85,29.41,17.71,0.0
17.99,68.78,15.28,0.0
24.83,78.93,7.85,0.0
-3.05,53.62,6.69,0.0
13.0,92.13,15.2,0.0
14.84,39.17,19.0,0.0
40.01,80.1,17.61,0.0
-4.05,68.43,13.25,0.0
24.11,47.58,15.88,0.0
20.17,60.67,6.58,0.0
-1.66,26.73,11.44,0.0
43.94,37.15,2.96,10.29
-2.99,36.89,13.25,0.0
29.96,21.31,11.16,5.62
29.52,86.34,14.73,0.0
-3.71,47.27,8.37,0.0
23.22,36.92,3.81,0.25
-1.44,65.7,10.39,0.0
31.51,83.57,16.94,0.0
-6.95,59.6,3.16,0.0
15.45,31.59,12.36,0.0
17.22,91.09,13.59,0.0
28.97,60.2,10.22,0.0
5.3,42.15,15.7,0.0
18.68,82.75,19.55,0.0
0.86,98.91,6.36,0.0
44.96,92.1,15.3,0.0
-4.98,46.9,10.59,0.0
25.56,22.81,12.42,1.3
0.69,37.37,3.14,0.0
22.07,42.86,4.65,0.0
-2.23,94.34,5.52,0.0
28.12,68.96,13.32,0.0
13.77,39.48,0.09,0.0
13.31,90.35,9.37,0.0
30.79,52.71,3.77,0.0
7.53,40.8,6.73,0.0
13.37,76.3,15.57,0.0
10.71,74.08,5.51,0.0
3.99,48.63,11.05,0.0
36.07,29.92,10.43,8.12
23.83,53.49,0.01,0.0
-0.2,33.5,2.08,0.0
13.67,30.99,19.03,0.0
1.8,53.31,3.21,0.0
14.69,67.8,17.62,0.0
34.76,30.82,19.3,2.08
34.24,39.65,11.05,5.0
2.01,37.31,17.91,0.0
28.07,57.29,7.27,0.0
24.25,98.0,18.29,0.0
9.25,67.4,6.11,0.0
3.43,78.13,15.7,0.0
8.05,88.41,12.51,0.0
41.5,73.02,9.81,1.87
10.02,69.38,15.67,0.0
21.93,38.83,11.77,0.0
2.79,39.3,11.32,0.0
43.89,99.01,10.84,0.0
-4.5,30.0,0.14,0.0
32.94,27.15,17.63,4.98
-7.32,85.18,2.61,0.0
12.26,62.86,9.86,0.0
2.86,90.02,11.53,0.0
-4.89,94.83,14.6,0.0
-3.19,35.31,5.74,0.0
15.72,38.61,18.28,0.0
13.73,76.87,0.22,0.0
31.38,38.04,9.64,1.65
14.24,27.55,6.81,0.0
-3.98,56.16,9.01,0.0
34.28,31.66,7.04,7.47
27.68,72.83,4.76,0.0
24.37,25.93,6.72,0.0
32.19,72.4,7.78,0.0
34.5,58.11,15.31,0.0
41.3,96.15,11.38,0.0
38.35,30.24,8.47,7.75
16.96,46.21,18.79,0.0
33.17,73.86,16.05,0.0
4.57,90.34,9.54,0.0
22.72,43.07,7.34,0.0
33.71,94.9,11.15,0.0
-0.62,40.05,12.46,0.0
5.78,31.75,19.37,0.0
38.11,70.34,3.17,1.89
40.42,52.14,2.4,6.4
30.94,86.91,1.13,0.0
37.91,20.11,10.75,7.73
14.53,96.19,14.48,0.0
-7.22,96.88,18.24,0.0
41.69,77.91,14.52,0.0
6.65,39.58,8.21,0.0
13.13,34.35,4.08,0.0
22.44,88.06,14.83,0.0
0.52,99.3,9.46,0.0
37.44,39.33,4.74,5.92
12.02,78.22,2.23,0.0
26.35,95.5,8.79,0.0
41.14,37.95,15.32,5.65
20.34,70.34,8.77,0.0
7.81,72.95,13.28,0.0
44.61,38.54,2.28,13.51
-7.93,93.0,6.34,0.0
8.5,36.6,11.51,0.0
28.28,38.54,15.53,0.0
6.89,60.19,8.9,0.0
17.36,26.02,8.37,0.0
26.09,65.91,10.93,0.0
33.33,65.45,8.19,0.0
-4.0,96.42,0.08,0.0
22.16,41.56,13.01,0.0
32.67,25.24,3.91,6.77
1.81,90.82,13.48,0.0
-3.23,50.92,0.94,0.0
42.21,70.66,2.68,2.61
31.52,88.21,8.32,0.0
13.09,38.57,13.35,0.0
31.78,87.01,13.87,0.0
33.87,35.6,11.35,5.51
22.29,77.15,17.45,0.0
-5.63,35.19,17.7,0.0
6.72,46.63,7.12,0.0
34.3,94.62,11.42,0.0
33.08,65.09,7.22,0.0
32.52,38.57,11.41,2.24
-9.49,57.87,3.37,0.0
1.76,28.57,3.08,0.0
25.54,98.91,14.76,0.0
12.95,86.9,3.91,0.0
31.66,56.7,14.58,0.0
-9.15,80.5,0.17,0.0
-6.89,79.05,13.8,0.0
40.88,62.77,15.04,0.0
2.45,20.24,11.02,0.0
16.91,52.99,0.82,0.0
36.98,57.24,4.1,5.41
44.92,30.06,8.58,13.34
40.07,82.51,2.94,0.07
-1.28,84.82,0.39,0.0
25.94,21.55,11.34,3.79
43.8,60.47,14.18,4.11
42.5,39.49,13.9,8.01
10.63,91.4,2.26,0.0
42.89,35.08,12.57,10.86
24.35,69.18,16.77,0.0
44.14,83.73,19.55,0.0
38.41,34.46,7.1,6.29
12.48,42.91,1.76,0.0
22.23,57.81,14.95,0.0
40.3,65.44,13.65,0.0
-3.47,62.03,18.97,0.0
-0.01,30.2,10.37,0.0
3.87,72.45,5.42,0.0
-9.56,74.58,12.17,0.0
25.52,75.13,7.33,0.0
8.81,93.08,12.54,0.0
-3.61,36.16,7.9,0.0
18.64,97.21,15.49,0.0
22.14,44.19,15.3,0.0
25.47,30.68,5.17,0.65
38.99,42.25,17.81,4.96
-3.88,30.6,10.76,0.0
23.47,76.35,7.59,0.0
44.81,97.0,14.52,0.0
-0.96,55.31,11.51,0.0
12.51,55.48,0.52,0.0
23.33,36.96,12.07,0.0
18.49,97.12,19.24,0.0
2.27,54.4,4.33,0.0
-5.28,55.76,11.04,0.0
5.03,54.78,2.7,0.0
23.59,75.41,8.36,0.0
0.6,34.03,1.33,0.0
6.29,98.07,2.33,0.0
11.03,68.44,12.82,0.0
31.2,76.26,15.49,0.0
36.04,25.17,10.13,9.33
6.04,97.16,15.33,0.0
-3.08,69.46,14.49,0.0
-8.42,31.19,4.02,0.0
24.4,50.37,5.91,0.0
27.37,63.07,4.72,0.0
28.37,83.49,16.37,0.0
38.58,46.64,3.15,8.53
-3.67,63.19,17.85,0.0
1.54,73.05,2.98,0.0
30.44,87.81,16.4,0.0
-8.88,41.09,17.37,0.0
14.76,67.57,9.17,0.0
-3.41,63.2,17.8,0.0
-1.29,72.45,10.13,0.0
-7.07,91.99,8.14,0.0
0.05,37.86,12.63,0.0
35.96,34.93,16.19,4.17
40.47,34.64,16.09,5.23
2.38,32.32,14.07,0.0
28.74,40.11,16.97,0.0
4.96,40.46,5.45,0.0
10.25,49.27,18.03,0.0
40.48,75.73,2.27,2.39
43.65,30.55,19.39,6.58
24.34,31.61,7.49,1.65
-8.94,26.06,12.43,0.0
-2.85,63.49,4.37,0.0
-7.42,94.06,2.01,0.0
-8.74,45.83,5.26,0.0
-3.67,37.36,15.72,0.0
30.12,38.68,10.83,1.31
37.58,91.98,5.1,0.0
43.49,61.29,16.66,1.56
26.5,32.48,12.83,0.0
42.9,21.91,4.11,12.41
29.78,86.54,4.7,0.0
20.07,66.02,15.3,0.0
12.89,78.31,8.33,0.0
-6.0,83.11,10.3,0.0
7.87,22.32,6.36,0.0
0.76,96.72,19.54,0.0
14.68,58.52,9.84,0.0
20.61,82.8,19.81,0.0
4.47,70.8,13.31,0.0
-8.54,92.15,2.54,0.0
33.22,31.83,10.11,4.26
32.31,77.34,18.35,0.0
19.85,93.36,9.57,0.0
40.36,44.67,5.03,7.91
5.69,99.84,19.47,0.0
1.45,97.89,0.11,0.0
