precipitation,humidity,temperature,hydro_output
61.79,43.07,11.09,39.35
53.6,49.57,20.9,33.01
13.46,83.01,1.94,18.5
54.17,50.32,19.38,34.79
69.68,68.6,3.22,44.01
36.97,50.09,-9.78,22.65
28.86,74.95,6.39,27.13
67.05,98.38,-8.57,46.96
8.33,63.33,-2.41,9.74
76.81,67.69,23.92,49.81
52.13,58.83,10.04,34.44
54.42,40.18,-4.94,28.99
93.35,53.87,1.21,52.74
8.52,75.52,-2.29,13.4
72.24,56.18,30.35,40.94
10.75,41.52,31.55,9.71
11.2,30.8,18.32,10.07
94.17,95.45,5.81,61.59
49.29,76.82,19.46,40.48
73.7,74.45,5.51,50.38
57.49,91.73,-7.87,41.31
90.65,78.05,3.13,59.15
52.96,40.51,7.68,34.17
57.29,96.81,18.31,47.66
49.52,38.94,11.28,31.94
6.14,52.98,16.71,14.42
38.34,55.19,28.6,24.2
34.51,44.3,12.31,26.9
58.23,94.61,-9.13,40.47
38.99,86.66,32.65,32.91
40.48,96.14,23.91,34.8
40.79,46.51,16.26,30.99
53.94,41.63,13.46,35.91
15.71,65.54,-1.39,16.46
29.33,64.12,-1.53,21.57
0.08,58.53,-5.31,4.23
63.86,30.04,31.19,32.36
42.68,88.28,19.93,38.62
2.46,38.35,-6.12,4.56
80.91,62.36,12.97,54.31
28.42,86.03,11.56,28.54
18.18,64.64,21.83,21.23
75.25,98.95,-1.48,50.51
65.28,36.78,-6.2,31.71
15.41,91.4,20.29,26.13
96.87,62.23,7.78,59.27
33.94,52.93,-1.73,23.51
12.56,77.55,22.79,20.19
65.09,65.98,-9.93,37.07
14.35,41.18,21.01,14.39
50.94,83.41,-2.23,35.74
77.12,67.05,22.01,49.75
94.5,48.1,21.63,54.33
12.78,52.19,-9.55,7.75
7.34,93.31,24.26,19.17
10.22,52.73,-1.4,11.56
10.15,98.03,20.45,24.03
30.95,70.8,16.38,29.07
90.87,30.67,6.89,48.21
88.65,53.83,10.44,53.78
42.59,45.55,18.55,28.17
39.02,70.47,25.54,30.19
50.68,69.36,24.04,37.34
80.54,52.27,29.88,46.6
79.92,84.68,12.62,56.81
11.67,42.99,21.1,11.3
88.07,35.08,0.29,45.85
48.02,99.59,28.61,38.19
78.99,41.88,27.36,42.52
11.62,73.5,15.88,20.34
8.08,79.8,32.55,16.69
30.26,36.26,17.99,22.13
33.27,83.26,9.88,32.34
21.62,98.61,15.82,29.25
70.54,79.09,13.02,51.89
23.93,84.2,31.32,25.47
81.81,65.78,34.1,47.24
95.01,60.01,3.93,54.24
39.95,71.12,4.72,33.03
60.02,78.19,1.47,42.46
61.11,48.86,33.11,36.14
90.75,75.99,24.72,56.54
85.15,54.31,28.33,47.96
33.72,63.48,16.87,30.44
76.38,99.09,21.46,56.41
66.65,97.27,14.17,52.72
43.48,66.84,-2.09,28.07
2.86,93.09,16.96,20.88
67.88,36.52,10.95,38.51
29.59,44.27,27.66,20.11
97.59,84.19,8.11,64.02
84.22,78.99,3.11,52.89
85.21,99.62,22.36,59.31
8.09,91.95,12.13,19.95
25.89,34.73,26.06,16.52
2.93,52.18,7.39,10.19
58.87,68.12,13.64,43.74
63.82,40.3,15.79,38.54
88.66,57.6,25.3,51.89
77.12,95.41,17.01,58.26
94.34,61.91,18.85,57.73
22.73,89.02,25.75,26.42
11.53,68.96,7.84,18.11
99.07,80.65,4.66,61.27
37.87,82.94,-2.12,30.5
54.37,34.57,0.42,30.52
6.39,68.43,20.94,15.55
41.58,88.73,8.65,35.4
35.69,78.77,16.95,34.41
84.35,59.56,-3.82,49.86
39.57,66.98,-6.21,25.02
74.03,39.74,-4.76,40.79
34.89,90.66,2.58,32.63
30.43,61.69,9.92,25.37
96.93,30.94,16.86,55.82
17.69,71.45,15.99,21.57
49.24,81.88,20.5,38.07
87.14,70.34,6.38,53.93
58.69,80.17,-4.01,40.46
81.7,76.88,29.43,52.76
43.12,54.97,-1.24,29.68
28.25,46.56,-9.87,16.07
96.61,49.07,10.03,57.66
57.76,84.7,32.9,41.67
25.8,34.71,-1.57,13.12
30.02,52.17,13.39,23.38
27.03,73.3,13.45,26.52
49.27,93.2,2.28,37.5
45.47,86.51,1.07,36.4
30.58,87.74,4.58,28.21
50.91,68.41,-8.2,30.83
36.0,49.95,0.55,21.86
68.05,59.36,27.85,41.51
8.27,87.69,29.68,16.59
94.88,42.64,27.18,51.03
87.01,37.37,-7.1,43.18
16.85,85.19,-3.95,21.4
27.61,51.43,25.08,22.87
63.03,81.55,-4.64,42.05
34.81,44.91,19.62,23.13
7.8,53.19,7.67,14.0
63.54,76.76,1.51,44.38
40.32,62.59,32.83,25.51
20.11,34.68,8.65,15.81
14.76,30.98,2.62,10.48
8.16,85.35,11.68,20.97
64.99,98.06,30.35,45.99
64.89,42.14,24.05,37.93
77.13,98.19,7.93,55.01
8.52,99.33,21.49,24.07
76.85,35.32,34.17,40.87
48.36,33.24,-1.05,26.0
38.43,71.24,7.53,31.24
44.63,68.6,10.16,33.1
66.13,64.3,28.8,42.97
61.01,67.58,27.75,38.75
39.01,95.94,21.26,35.81
82.45,55.0,-3.44,47.11
60.35,31.93,33.61,29.98
6.51,58.04,8.86,12.4
0.83,94.69,1.03,17.03
20.78,41.0,26.0,13.74
79.05,38.38,10.06,46.01
48.37,57.41,18.09,35.81
17.04,68.32,-6.3,14.32
75.63,47.64,29.09,43.62
78.54,96.95,31.87,54.2
84.85,50.33,10.26,52.05
52.41,83.84,5.86,41.22
31.28,83.63,-0.46,27.1
81.64,93.49,34.13,54.07
24.09,98.25,20.67,31.13
62.74,61.87,16.69,41.94
81.97,75.66,32.45,50.4
79.75,40.9,12.03,47.18
93.97,60.83,7.4,54.88
56.09,89.67,-8.73,38.8
45.25,83.52,-7.11,33.33
58.18,62.95,-3.51,35.45
49.11,91.99,-7.27,36.06
41.39,75.48,-7.33,29.46
39.09,64.28,22.57,30.4
80.54,41.9,17.38,48.62
4.03,53.91,27.17,7.74
99.11,95.04,23.16,65.18
72.82,54.65,4.7,46.09
59.73,93.04,4.43,46.69
30.71,88.47,34.72,27.91
72.29,83.51,8.95,51.26
20.61,66.52,5.11,20.34
12.85,73.97,-6.91,15.0
15.23,51.12,-2.86,11.34
16.05,47.47,6.38,16.01
12.66,40.34,23.16,10.97
91.8,39.26,27.44,48.17
98.48,85.37,-1.25,62.17
89.41,83.72,7.4,57.51
94.7,61.37,12.68,59.96
55.21,78.19,-3.9,37.31
71.29,68.45,32.71,45.54
37.47,34.91,31.62,22.53
49.75,69.48,23.85,36.68
33.19,66.55,-5.68,22.86
33.71,89.28,25.2,31.32
68.78,33.15,13.94,42.39
2.16,66.92,27.46,10.27
5.39,83.1,-5.08,11.53
47.63,75.54,33.82,31.8
93.85,82.81,1.87,60.61
22.63,57.13,9.37,19.55
81.47,67.07,-1.4,49.74
16.64,85.3,18.01,25.27
47.66,81.53,28.06,35.75
80.45,51.55,17.87,48.24
26.69,66.83,13.88,24.52
99.44,94.62,11.47,66.09
3.67,57.1,-9.09,5.31
44.25,77.56,28.1,31.83
73.97,55.72,14.89,49.9
84.62,95.28,21.43,60.26
63.24,36.48,8.19,37.39
68.25,73.92,30.23,44.64
96.84,86.22,26.1,62.68
93.81,57.26,14.05,56.91
15.64,60.98,2.7,15.43
24.3,44.67,29.26,15.68
53.37,58.08,-7.17,31.48
39.85,49.83,-0.05,27.35
58.12,33.91,6.58,33.11
69.03,86.37,6.49,50.09
17.96,56.15,17.52,20.63
67.93,88.47,-4.65,46.38
10.86,58.91,-4.25,12.37
68.47,55.98,6.19,43.92
68.28,34.8,28.02,36.31
24.05,40.57,7.65,16.73
13.32,52.43,0.55,14.39
1.42,83.01,-8.5,10.52
43.87,75.1,17.97,34.49
26.34,57.51,20.59,22.15
45.27,38.88,17.05,30.12
56.68,96.37,19.56,45.65
28.28,30.95,11.26,18.5
50.76,74.26,31.06,35.14
83.98,71.59,-0.67,51.62
25.95,51.13,27.73,17.61
43.7,95.59,-5.09,36.06
92.05,78.29,13.9,59.9
65.56,79.89,6.19,44.18
10.97,78.59,-7.83,12.92
72.27,57.36,3.52,45.53
21.28,58.01,-2.35,17.0
22.82,57.32,-3.3,17.35
68.86,47.65,22.72,41.16
42.13,59.35,3.97,28.96
0.4,97.33,31.13,13.74
30.2,57.05,2.31,22.32
68.73,90.37,14.48,51.08
65.07,72.25,13.06,44.42
65.47,74.31,3.7,44.27
97.19,70.18,21.27,62.32
89.53,86.16,-4.45,57.79
79.28,46.78,6.86,45.14
45.88,75.29,1.25,31.93
47.27,38.6,22.13,27.49
64.43,86.68,-3.98,44.25
77.68,73.65,16.37,52.11
41.69,96.0,-9.63,34.07
59.77,30.01,17.44,34.36
24.09,39.89,7.64,15.84
96.28,74.7,17.45,61.23
70.0,32.65,26.58,39.19
58.42,71.96,33.11,36.79
6.05,79.67,2.97,14.73
10.24,83.17,4.55,20.08
51.88,40.31,1.55,28.29
17.69,78.53,16.18,25.44
96.78,95.15,25.11,65.51
66.33,78.3,28.54,43.7
75.21,33.58,10.19,42.66
82.62,43.57,-2.58,46.44
15.49,70.55,2.05,19.03
41.83,55.38,34.12,26.39
98.43,55.75,15.62,62.09
11.84,40.95,23.89,11.07
25.96,86.33,-6.47,24.83
93.42,93.0,5.46,62.12
65.89,43.24,25.97,36.97
71.0,41.76,1.45,40.45
99.06,40.67,26.78,55.77
89.51,71.13,30.31,54.91
1.73,43.8,18.55,9.96
0.75,90.3,27.98,15.7
3.99,46.09,18.37,10.85
19.99,88.06,24.54,24.4
31.62,71.21,3.98,26.18
23.83,31.41,29.71,12.77
25.78,90.79,-6.25,25.11
38.23,89.7,-3.43,29.92
42.5,97.15,26.14,38.39
15.61,91.73,23.1,23.76
15.06,45.74,-6.0,10.34
88.83,95.84,24.67,59.16
76.61,75.26,6.24,51.22
13.1,37.11,0.87,10.27
25.85,98.56,25.13,31.56
21.01,72.5,13.65,25.11
33.2,46.16,24.24,22.52
12.33,65.67,-9.07,12.23
48.18,45.8,5.79,29.34
27.48,46.45,-3.01,17.35
44.74,43.17,11.91,30.41
18.97,33.43,11.37,14.63
25.0,41.42,25.76,17.64
18.61,41.93,3.61,13.21
5.12,69.86,27.64,14.67
52.28,49.36,-6.54,28.35
82.82,56.77,7.97,50.14
48.01,71.1,21.01,36.19
33.33,47.17,24.21,21.82
76.75,68.79,9.25,49.99
7.11,78.95,2.06,14.24
51.59,67.31,32.35,34.37
91.99,89.96,5.01,59.08
96.45,58.67,-8.22,51.54
4.88,62.77,22.76,13.58
71.47,48.47,27.26,41.94
21.55,81.1,4.53,24.75
72.25,56.55,16.64,46.71
95.21,75.52,27.17,57.55
27.09,72.58,13.3,25.96
40.3,58.71,-3.24,25.91
20.55,85.86,13.85,27.77
20.83,33.56,3.52,12.43
24.54,96.62,0.91,27.63
13.71,65.76,17.54,17.3
89.59,79.47,7.17,58.82
70.76,76.39,7.57,46.75
92.05,39.16,17.67,53.73
56.2,81.97,15.81,44.99
91.15,90.13,25.16,60.86
7.25,31.82,-4.92,5.06
30.08,60.89,11.01,24.11
51.48,40.27,34.67,25.96
26.52,55.37,-3.45,19.87
41.81,40.66,-6.79,22.65
85.02,64.53,21.43,52.77
29.88,38.97,4.22,17.72
87.77,43.01,10.16,52.25
88.2,71.44,-4.88,52.57
89.97,43.92,16.98,54.91
99.96,98.29,-0.66,63.84
30.62,78.37,34.23,24.5
7.64,83.77,4.08,17.56
27.4,53.32,26.64,19.58
61.91,64.18,-8.88,37.56
63.04,95.72,28.41,47.54
91.88,78.15,-5.08,57.51
99.95,88.66,3.56,65.68
39.76,94.31,20.38,37.9
99.11,62.67,4.59,57.33
66.26,50.41,1.25,39.55
56.94,75.0,34.64,39.48
88.97,73.25,7.11,55.7
69.5,80.71,20.31,47.43
60.74,97.43,-2.03,45.63
0.28,38.56,22.93,7.14
68.17,51.77,7.11,40.36
41.71,55.67,35.0,27.59
11.98,61.3,28.6,15.39
40.94,70.99,32.95,28.34
77.47,62.1,3.66,47.69
39.45,46.51,-6.71,22.62
13.9,46.47,-6.61,11.18
60.38,74.08,18.31,43.57
78.62,94.88,32.03,51.49
35.75,49.11,6.94,26.79
69.18,92.91,24.19,50.75
9.51,36.6,-2.07,5.61
64.58,74.69,19.32,46.6
90.0,48.7,12.96,55.26
8.2,74.97,4.03,14.8
26.92,84.34,29.33,24.99
5.6,31.07,5.15,6.89
13.3,62.13,-6.4,12.69
46.28,36.62,9.28,29.14
17.89,71.79,8.47,19.35
15.82,53.46,5.85,16.51
69.16,47.26,19.36,42.93
9.11,46.56,32.01,6.97
95.92,39.56,15.28,54.02
23.78,66.44,13.86,26.81
1.78,90.07,17.1,18.0
55.59,56.95,23.08,38.64
87.55,58.86,-9.84,47.09
37.01,97.49,10.38,35.94
32.21,83.73,5.07,31.83
66.14,38.53,34.89,33.74
39.26,58.14,-8.78,24.23
4.29,69.56,27.98,12.75
10.38,33.58,9.8,10.71
99.47,79.77,4.14,61.93
80.14,56.11,13.59,49.13
75.94,98.82,16.98,56.97
37.94,63.89,25.47,29.98
50.18,69.8,3.44,34.75
43.03,94.64,31.45,35.16
28.06,58.34,32.34,20.25
36.88,77.01,-8.69,25.94
96.12,56.97,21.57,59.25
91.57,59.54,0.76,52.59
24.18,38.89,11.72,19.85
22.3,32.7,-4.11,12.71
28.67,36.41,-4.96,17.27
14.62,57.73,10.33,15.68
83.79,46.82,15.81,50.22
66.65,70.36,5.9,43.16
30.53,98.28,2.88,30.31
49.73,74.85,-0.66,33.65
28.99,50.33,13.26,22.48
74.72,70.42,31.89,44.62
80.85,71.77,20.08,51.45
24.24,42.64,26.74,17.43
5.37,71.59,12.9,15.06
24.2,73.85,29.61,22.89
32.25,34.47,14.89,24.01
83.22,59.11,22.35,52.53
83.76,79.48,0.45,52.72
86.96,63.37,19.46,53.9
12.68,52.17,13.14,15.41
43.95,38.68,8.75,26.99
27.6,80.68,-9.74,24.3
98.13,88.42,-2.58,60.5
27.94,84.9,3.47,26.77
6.2,74.6,27.15,12.75
23.89,70.22,5.89,21.43
84.67,86.33,21.25,59.7
75.1,89.81,5.33,52.91
66.47,55.0,21.23,43.54
92.01,39.89,32.17,49.96
9.69,44.41,-5.31,8.12
62.8,31.13,15.49,36.35
20.5,53.23,24.05,16.93
71.86,38.44,12.75,42.84
40.6,48.57,-1.3,24.41
62.24,69.83,20.78,41.46
77.87,90.72,5.98,55.22
21.25,59.92,16.3,23.64
86.22,67.61,27.49,51.63
49.23,62.09,14.5,34.92
21.24,80.27,13.32,26.19
47.42,91.04,31.13,37.22
56.41,95.85,21.91,46.32
84.13,61.13,-4.17,48.43
34.65,86.91,27.87,32.29
26.89,87.34,6.35,28.43
82.01,89.11,-1.49,54.09
13.07,88.28,16.55,22.51
44.03,93.99,29.84,36.25
10.47,91.82,4.29,21.61
23.22,30.36,2.13,14.02
60.26,64.73,22.51,41.78
97.89,77.75,1.35,59.32
71.3,92.71,1.83,49.45
38.53,35.68,12.28,25.74
13.04,32.23,31.85,7.2
42.08,42.68,21.74,26.82
7.03,58.32,12.7,14.56
72.93,80.31,21.67,49.36
30.07,80.51,21.12,28.8
31.46,93.18,10.53,34.58
24.46,50.43,19.29,20.0
75.29,89.0,32.72,52.07
47.84,50.26,0.18,28.03
95.53,58.17,18.48,58.53
31.98,64.56,26.53,26.95
46.2,52.74,-3.47,28.52
73.49,31.05,16.29,41.81
55.57,55.93,-8.33,31.81
22.07,49.48,9.87,18.9
93.38,84.39,25.05,60.24
13.54,67.52,19.21,19.63
66.55,89.23,16.82,49.86
82.75,78.33,3.06,51.8
19.35,57.28,34.38,16.37
12.8,38.35,9.45,11.38
67.0,66.31,28.35,42.91
65.68,83.43,24.33,45.59
88.69,36.17,2.08,47.19
78.46,66.2,34.13,48.12
69.51,33.15,32.32,35.94
61.18,82.7,11.08,47.64
3.86,77.0,8.21,14.92
96.02,58.11,-7.47,53.16
48.51,39.73,-6.36,24.51
99.01,45.51,13.52,59.56
62.14,39.3,14.91,38.89
11.0,76.97,6.92,16.98
37.44,48.2,27.27,22.85
69.49,65.72,23.22,44.77
34.89,62.79,16.23,27.76
63.22,77.65,8.16,43.78
3.37,87.26,17.97,19.21
88.09,77.39,-4.98,54.75
25.98,71.22,19.93,27.12
57.89,69.29,0.25,36.7
44.59,83.71,27.09,36.61
71.21,87.56,33.82,48.74
3.92,38.1,20.12,7.25
8.1,48.44,30.47,9.08
53.32,35.99,15.04,34.56
14.07,39.63,-6.35,9.55
31.27,74.16,14.43,30.15
3.36,31.85,3.73,3.39
19.35,43.15,23.76,16.74
87.45,44.49,-3.86,48.7
99.55,98.21,28.07,66.4
30.69,96.32,1.51,30.66
63.64,64.78,3.96,41.73
30.21,50.27,2.55,20.82
10.05,39.71,-8.45,6.57
53.38,61.31,2.08,36.01
50.44,85.22,11.18,42.96
5.27,67.9,6.85,12.3
90.74,62.25,20.59,55.92
51.27,71.39,24.76,35.07
93.0,48.82,15.67,54.44
5.22,70.47,8.67,15.14
84.17,70.24,33.73,51.92
49.42,67.7,14.0,38.91
95.59,33.98,29.72,49.43
60.76,77.56,27.48,40.88
95.84,50.77,-2.9,52.31
22.43,36.6,25.51,14.44
0.68,65.58,-4.66,7.63
33.33,70.32,22.66,28.6
87.07,77.84,13.46,57.89
45.78,81.67,3.51,37.28
49.34,39.87,8.85,29.11
20.75,30.36,-0.96,11.22
32.28,61.48,-7.49,20.59
79.86,72.93,-7.36,48.04
36.54,88.08,6.26,34.31
13.78,79.07,12.57,21.92
40.79,52.54,6.42,27.43
60.33,71.62,21.46,40.64
40.61,98.33,9.28,36.62
27.09,41.27,-5.65,15.09
81.96,46.67,26.79,47.63
18.1,48.8,7.4,17.14
58.55,43.42,-3.99,30.81
46.17,57.62,-6.14,27.13
60.62,98.36,2.74,46.02
86.92,82.11,16.63,60.67
32.72,67.45,15.52,27.84
7.77,70.96,28.03,15.81
59.41,66.91,18.74,43.88
14.68,71.25,0.35,16.89
65.68,55.13,25.09,42.6
43.51,78.69,4.01,34.57
82.67,41.76,1.17,43.88
20.09,47.93,3.1,15.63
5.37,47.2,7.09,7.77
78.52,85.14,34.18,48.6
58.66,93.11,-2.31,42.75
27.19,53.82,21.29,21.32
16.86,55.35,-8.04,10.71
7.56,38.77,33.73,5.2
69.51,47.16,31.2,39.84
76.15,87.7,16.56,53.41
86.35,58.02,-7.5,48.59
72.46,40.85,6.0,41.63
78.86,84.6,-1.87,50.26
7.4,87.21,-6.4,12.83
75.19,45.64,30.26,43.12
97.64,50.65,14.68,59.46
44.76,57.68,13.06,33.65
69.48,37.06,18.03,42.78
66.79,41.52,3.06,39.9
23.86,89.65,18.12,27.74
97.38,71.08,30.73,57.97
27.83,78.96,30.37,23.45
61.21,32.29,33.82,33.1
42.18,68.66,25.08,32.23
66.42,54.79,-5.23,38.41
50.1,75.7,22.82,39.38
53.31,70.47,29.69,38.12
47.62,55.75,29.4,29.62
90.77,95.42,7.04,62.68
38.84,30.06,1.86,23.23
24.53,83.24,11.14,25.95
88.47,61.98,8.78,52.91
99.43,60.52,2.26,57.06
75.36,49.09,11.25,48.01
16.06,73.97,28.08,16.91
96.6,99.46,28.09,63.46
40.97,83.71,7.76,35.67
76.8,34.21,-4.64,40.74
41.12,84.24,21.88,37.17
92.66,50.86,29.61,50.32
40.03,74.5,28.23,31.45
62.87,72.65,6.96,45.36
96.64,82.34,31.7,60.63
10.14,42.62,-0.4,8.47
12.3,33.83,2.62,9.09
48.88,36.71,1.27,29.08
87.36,56.78,-9.48,47.85
29.95,88.99,20.48,32.95
54.41,48.39,14.6,36.26
22.18,68.5,-2.87,18.33
19.27,85.53,5.41,23.53
76.0,40.64,18.27,44.04
83.16,97.37,-9.44,52.94
27.34,59.47,34.84,18.06
72.34,76.78,11.18,51.96
97.16,82.95,25.42,63.23
65.81,30.72,27.37,35.26
15.86,66.31,10.67,18.53
19.01,69.95,34.5,17.78
47.93,45.42,2.46,31.24
81.44,91.31,29.74,55.33
49.44,53.05,14.87,34.88
20.66,80.34,-5.61,19.07
34.17,88.84,10.77,35.49
44.64,76.41,31.94,32.54
94.68,68.3,9.32,59.78
63.79,82.02,19.79,46.75
26.12,59.81,34.24,18.73
22.63,76.93,-4.22,21.72
68.39,33.95,-5.07,34.06
84.14,50.91,11.05,51.79
52.14,86.08,-9.75,37.47
50.53,74.2,24.01,37.53
47.66,89.03,-6.41,33.75
52.1,81.51,3.02,40.14
86.23,41.31,32.43,47.66
50.08,93.7,-7.66,37.36
88.02,91.76,8.22,61.43
64.77,95.91,12.98,51.5
22.2,37.43,-1.01,12.96
88.34,56.34,12.3,52.95
28.76,77.48,18.41,28.82
25.92,66.72,21.82,22.64
77.46,56.47,34.7,44.52
39.93,35.76,25.28,22.08
80.06,51.89,11.5,47.45
27.09,71.97,6.25,25.83
66.7,88.39,3.8,48.46
80.16,32.64,-0.2,40.77
20.64,30.59,-9.26,10.06
12.4,48.79,-9.69,8.51
99.32,59.35,26.11,58.86
85.25,37.16,14.51,51.31
66.28,48.1,7.14,41.8
98.89,36.37,25.78,53.7
18.02,45.63,-4.11,14.24
17.09,94.71,8.75,26.65
81.5,71.42,13.47,52.65
27.5,96.21,17.87,32.78
28.61,37.21,1.76,19.75
64.64,53.59,14.61,42.74
58.06,46.55,-7.52,32.76
76.32,37.58,21.95,43.09
43.8,86.79,-6.25,31.4
32.94,61.39,-7.94,20.02
37.16,41.63,14.11,27.8
62.13,70.51,5.9,40.58
37.02,58.71,7.0,29.8
96.0,39.38,-5.0,49.89
76.69,73.09,11.73,50.28
30.81,87.37,17.94,32.84
89.2,52.24,-3.8,47.51
90.63,57.09,14.25,55.17
36.49,97.16,14.23,37.67
37.93,95.69,11.05,34.95
15.33,40.83,33.68,9.12
19.31,96.53,19.35,26.59
53.89,99.28,29.47,43.01
32.25,95.82,30.43,32.11
3.84,76.38,12.99,16.06
96.44,31.36,5.29,50.64
96.84,48.98,31.74,53.23
62.5,94.94,27.44,47.06
21.02,75.99,-2.4,21.36
13.62,80.92,34.46,18.12
14.79,36.06,1.33,10.01
98.69,52.81,34.07,54.76
73.21,36.12,34.04,36.98
12.2,37.62,30.72,8.56
80.75,84.79,32.18,52.15
56.34,64.13,-6.71,34.59
61.31,93.37,30.32,44.97
48.55,87.4,7.88,38.1
23.89,90.25,10.61,30.52
47.47,54.37,27.23,32.63
84.91,92.13,-1.32,56.08
63.53,77.34,6.59,44.49
18.98,66.96,19.1,20.2
26.71,40.25,17.26,22.67
13.95,78.13,5.82,20.48
76.68,55.22,16.31,50.63
20.83,95.76,6.76,27.34
65.84,32.72,-4.9,34.06
17.5,56.0,28.11,16.83
43.26,81.55,26.32,36.08
94.32,57.03,26.87,55.03
34.59,92.21,28.18,31.96
64.72,49.54,-4.09,34.6
58.73,98.57,15.59,48.5
40.33,45.7,13.48,26.93
87.69,68.14,28.17,55.24
68.1,82.84,3.72,47.31
54.21,61.91,7.61,35.79
11.44,56.67,7.16,14.1
82.86,92.33,17.64,58.16
70.2,84.62,11.21,49.31
99.51,42.85,15.71,57.93
89.51,62.47,30.1,50.82
99.8,34.71,20.47,55.83
67.14,87.83,0.65,48.73
43.51,97.65,26.44,39.38
15.06,30.07,5.37,12.45
97.72,39.26,-2.17,52.61
56.97,89.89,25.83,43.99
2.28,46.81,2.43,7.86
63.06,36.35,34.34,33.9
20.39,49.59,31.31,15.35
1.2,57.74,-8.24,4.43
69.63,56.19,23.27,41.64
70.8,53.79,14.07,46.35
45.41,32.74,30.82,23.74
67.25,73.38,22.29,47.72
45.47,75.37,-6.07,29.72
35.45,77.38,33.54,29.21
18.72,82.81,6.99,23.95
1.25,59.75,29.16,6.4
37.62,99.63,29.99,35.03
32.43,71.69,-2.2,25.12
57.59,38.1,-9.84,28.85
92.6,73.91,-7.56,55.62
50.63,89.19,6.57,40.78
52.98,32.61,7.05,31.35
32.83,45.18,32.7,18.61
93.35,95.23,33.43,60.04
53.52,92.99,19.44,43.1
46.11,66.96,14.0,37.67
69.03,89.68,-7.84,44.8
27.53,75.4,17.55,29.37
